analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,value,n_noise,n_matrices
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,independent_rms_absolute,29,0.15191566881324012,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,independent_rms_absolute,43,0.1317117427287038,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,independent_rms_drop,17,-0.07032963213882037,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,independent_rms_drop,29,-0.06818975394480807,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,independent_rms_drop,43,-0.052141077869377404,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,structure_effect,17,0.008044824893528127,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,structure_effect,29,-0.006152471366309327,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,structure_effect,43,0.01810007608139252,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,electrode_absolute,17,0.8464910013742434,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,electrode_absolute,29,0.8898679947920914,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,electrode_absolute,43,0.874147243344127,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,electrode_drop,17,0.06971049496176362,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,electrode_drop,29,0.03640123205449419,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,electrode_drop,43,0.05229627806797075,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,independent_rms_absolute,17,0.8544330705445723,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,independent_rms_absolute,29,0.8819939747608229,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,independent_rms_absolute,43,0.8596732994817787,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,independent_rms_drop,17,0.06176842579143477,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,independent_rms_drop,29,0.04427525208576272,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,independent_rms_drop,43,0.06677022193031888,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,structure_effect,17,-0.007942069170328858,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,structure_effect,29,0.007874020031268525,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,structure_effect,43,0.014473943862348126,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_f1,electrode_absolute,17,0.5818482228883236,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_f1,electrode_absolute,29,0.6225114273501581,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_f1,electrode_absolute,43,0.6071642316585207,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_f1,electrode_drop,17,0.15323279010728724,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_f1,electrode_drop,29,0.13067233419273655,6,1
