model,strategy,kind,combo_set,combo_id,snr,metric,x_mean,x_seed_sd,x_ci_low,x_ci_high,y_mean,y_seed_sd,y_ci_low,y_ci_high,n_seeds,n_bootstrap,n_invalid_x,n_invalid_y
tcn,electrode,bandpass,heldout,LL_V4,0,macro_auroc,-0.024156799832931196,0.016874953786340637,-0.026715910541299907,-0.02174040367885514,0.025022198736309176,0.017059370118405776,0.022440299899990312,0.027713982227285414,5,2000,0,0
tcn,electrode,bandpass,heldout,RA,20,macro_auroc,-7.599524157049231e-05,0.00011680954461502247,-0.0002916911469686689,0.00013013358860843917,-0.0007802853143648924,0.0005075589217755302,-0.0014102064898363065,-0.00010751205255082168,5,2000,0,0
tcn,electrode,bandpass,heldout,RA,15,macro_auroc,-0.0003533050447535713,0.00036090533874120025,-0.000761385860195043,5.9559249321015714e-05,-0.0006031768348532696,0.0005426833738887526,-0.0012691157414778916,9.351805877475837e-05,5,2000,0,0
tcn,electrode,bandpass,heldout,RA,10,macro_auroc,-0.0016436686447680593,0.0012220346522233904,-0.002448230583196029,-0.0008454207047605339,0.00025662161174571095,0.0006980154618479066,-0.0005320874688852851,0.0010391674564384898,5,2000,0,0
tcn,electrode,bandpass,heldout,RA,5,macro_auroc,-0.007024349722231671,0.00427225966371077,-0.008578891581722748,-0.005550250365479326,0.0037146162158589345,0.0022902251404092514,0.0026201832483038795,0.004886555540726886,5,2000,0,0
tcn,electrode,bandpass,heldout,RA,0,macro_auroc,-0.028074963454423153,0.015281011703367086,-0.03122283431528339,-0.025112529890377263,0.01399175720152701,0.007656796517317346,0.012149569281197557,0.016005574741146215,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_LA_V1_V6,20,macro_auroc,-6.511759388589944e-05,7.20364712969328e-05,-0.00026868235755043936,0.0001319267958844509,-0.000814701994623368,0.0005167032785140304,-0.0014454740310591706,-0.00014801493617006687,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_LA_V1_V6,15,macro_auroc,-0.00027390968280405215,0.00016290196837900116,-0.0006571272983089899,0.00010638873863533199,-0.0006450768456993661,0.0006269362580646369,-0.001334790777139046,6.050494569299567e-05,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_LA_V1_V6,10,macro_auroc,-0.0013587148507965053,0.0006905539145231508,-0.0020818716620807313,-0.0006586361163710203,0.00047612301885484597,0.0005510587405257263,-0.0004255820279289735,0.001345653638296647,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_LA_V1_V6,5,macro_auroc,-0.005708313303473278,0.002982972970494583,-0.0070826501053190705,-0.004416845764440005,0.005123009698892833,0.002888260502241935,0.0037273531822169903,0.006546715693760224,5,2000,0,0
