analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,value,n_noise
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,ece,structure_effect,29,-0.000648316388911125,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,ece,structure_effect,43,-0.0004391866906046371,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,ece,structure_effect,101,-0.00021717807228331665,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,ece,structure_effect,202,-0.00037893954086130194,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,17,9.726877730398265e-05,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,29,-0.0003752588682646163,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,43,0.00021829392991923324,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,101,-0.00017978886166791774,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,202,-0.0004317328142259269,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,17,0.0018439637457975389,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,29,-0.0023676871597863025,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,43,0.00038805802131902656,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,101,2.4830689282939744e-05,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,202,-0.00022840693471759543,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,ece,structure_effect,17,-0.0009167538867348515,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,ece,structure_effect,29,-0.0015373687639308846,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,ece,structure_effect,43,-0.0011101192867151617,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,ece,structure_effect,101,-0.0003786748981658983,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,15,ece,structure_effect,202,-0.0013920413692763423,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,17,-0.0004952272923187673,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,29,-0.0007677362024567369,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,43,4.327081741883898e-05,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,101,-0.0005177729221714777,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,202,-0.0011769580261178358,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,17,0.001842702079347447,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,29,-0.004135420305257265,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,43,-0.00010065899893174635,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,101,-0.002203561227715034,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,202,-0.0022506569143528887,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,ece,structure_effect,17,-0.003304756902654929,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,ece,structure_effect,29,0.000233941667931465,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,ece,structure_effect,43,-0.00325510540633241,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,ece,structure_effect,101,-0.0015085088960461596,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,ece,structure_effect,202,-0.0015113746374078862,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,17,-0.0033783862124984188,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,29,-0.001808031105741681,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,43,-0.0015334974945473423,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,101,-0.0026437178784057824,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,202,-0.004017850556003011,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,17,-0.004046094272842415,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,29,-0.007120201643711299,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,43,-0.000584687415978169,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,101,-0.0054529169076101836,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,202,-0.010916723752222302,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,ece,structure_effect,17,-0.003848610407067986,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,ece,structure_effect,29,0.0079836343239112,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,ece,structure_effect,43,0.003599132933576641,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,ece,structure_effect,101,-0.003913464164411434,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,ece,structure_effect,202,0.002488605080277574,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,17,-0.01434780685658521,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,29,-0.006540504296385863,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,43,-0.008061892978169949,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,101,-0.012429110812825939,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,202,-0.015702229571367465,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,17,-0.02331030478381957,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,29,-0.020686455087964628,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,43,-0.021776606171424184,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,101,-0.020585189280896254,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,202,-0.04754285286367854,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,ece,structure_effect,17,0.007462513426189997,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,ece,structure_effect,29,0.00903674277396918,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,ece,structure_effect,43,0.030002082701328522,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,ece,structure_effect,101,0.016261365601316427,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,ece,structure_effect,202,0.03707089129981317,5
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,17,-6.509066585635992e-05,5
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,29,-0.00015671794951888085,5
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,43,0.0001903386197297241,5
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,101,-6.175353061710354e-05,5
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,202,-8.337083339660101e-05,5
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,17,-0.0003490333149510638,5
