model,strategy,kind,combo_set,combo_id,snr,metric,seed,x,y,baseline_electrode_auroc,baseline_independent_rms_auroc,strategy_electrode_auroc
resnet,electrode,bandpass,train,V4,15,macro_auroc,202,-0.00032895766642693225,0.005354992412645587,0.9027676096700317,0.9030965673364586,0.9081226020826773
resnet,electrode,bandpass,train,V4,10,macro_auroc,17,2.972826858871347e-05,0.007807717613810716,0.8999414812118989,0.8999117529433102,0.9077491988257096
resnet,electrode,bandpass,train,V4,10,macro_auroc,29,-0.00018855120624028388,0.0031475990696676615,0.9016410813833495,0.9018296325895898,0.9047886804530172
resnet,electrode,bandpass,train,V4,10,macro_auroc,43,-8.467093151376393e-05,0.006074704334802283,0.9023327301855787,0.9024174011170925,0.908407434520381
resnet,electrode,bandpass,train,V4,10,macro_auroc,101,-0.00012084857386351899,0.0005681166901508883,0.9068324487505899,0.9069532973244534,0.9074005654407408
resnet,electrode,bandpass,train,V4,10,macro_auroc,202,-0.0004069730677979111,0.006780572688461439,0.8996395543892591,0.900046527457057,0.9064201270777206
resnet,electrode,bandpass,train,V4,5,macro_auroc,17,-0.000338855515159886,0.015259901724089087,0.8872862602313514,0.8876251157465113,0.9025461619554405
resnet,electrode,bandpass,train,V4,5,macro_auroc,29,-1.2030829850684377e-05,0.008018412826203969,0.8895515649751033,0.889563595804954,0.8975699778013073
resnet,electrode,bandpass,train,V4,5,macro_auroc,43,4.82876651467512e-05,0.012954865334785737,0.8912345747517925,0.8911862870866457,0.9041894400865782
resnet,electrode,bandpass,train,V4,5,macro_auroc,101,-0.0006823913173817919,0.0045086563792720025,0.899838342996178,0.9005207343135598,0.90434699937545
resnet,electrode,bandpass,train,V4,5,macro_auroc,202,-0.0003976116794127682,0.013375976733385975,0.8881350916774066,0.8885327033568193,0.9015110684107925
resnet,electrode,bandpass,train,V4,0,macro_auroc,17,-0.00038245116803625745,0.034872843790098584,0.8493193094083397,0.8497017605763759,0.8841921531984382
resnet,electrode,bandpass,train,V4,0,macro_auroc,29,-0.0002529797604605699,0.027460177406810837,0.8470468155734154,0.847299795333876,0.8745069929802263
resnet,electrode,bandpass,train,V4,0,macro_auroc,43,-0.001393035441696,0.031160552206616843,0.8585440824462658,0.8599371178879618,0.8897046346528826
resnet,electrode,bandpass,train,V4,0,macro_auroc,101,-0.00038818182968647363,0.015777428367333757,0.8767348428150405,0.877123024644727,0.8925122711823743
resnet,electrode,bandpass,train,V4,0,macro_auroc,202,-0.0013613252131028375,0.04593985217486074,0.8376518019174914,0.8390131271305943,0.8835916540923522
resnet,electrode,bandpass,train,V5,20,macro_auroc,17,0.000130247028901187,0.0036468016060388075,0.9058721605388321,0.9057419135099309,0.9095189621448709
resnet,electrode,bandpass,train,V5,20,macro_auroc,29,8.889335917139363e-06,0.001098853178718051,0.9070465384882972,0.90703764915238,0.9081453916670152
resnet,electrode,bandpass,train,V5,20,macro_auroc,43,9.057361828068711e-05,0.0018403589708841928,0.9077562264340637,0.907665652815783,0.9095965854049479
resnet,electrode,bandpass,train,V5,20,macro_auroc,101,0.00013905386290580246,-1.5813724814739416e-05,0.9084377481596382,0.9082986942967324,0.9084219344348234
resnet,electrode,bandpass,train,V5,20,macro_auroc,202,9.053485264542971e-05,0.005364112687760492,0.9034997868292958,0.9034092519766503,0.9088638995170563
resnet,electrode,bandpass,train,V5,15,macro_auroc,17,0.00041721955415030543,0.005035029028178206,0.9038094961639409,0.9033922766097906,0.9088445251921191
resnet,electrode,bandpass,train,V5,15,macro_auroc,29,-1.4610003032822227e-05,0.001618983555947917,0.905226631385952,0.9052412413889849,0.9068456149419
resnet,electrode,bandpass,train,V5,15,macro_auroc,43,0.00012286005593742377,0.0032312143799710924,0.9057933632110894,0.905670503155152,0.9090245775910605
resnet,electrode,bandpass,train,V5,15,macro_auroc,101,0.00028412875228289725,-0.00010872995756305848,0.907842124822731,0.9075579960704481,0.9077333948651679
resnet,electrode,bandpass,train,V5,15,macro_auroc,202,0.00013122522494168898,0.00590106580666061,0.9021845497366305,0.9020533245116888,0.9080856155432911
resnet,electrode,bandpass,train,V5,10,macro_auroc,17,0.0009487566649962753,0.008844278774219894,0.8975993300867497,0.8966505734217535,0.9064436088609696
resnet,electrode,bandpass,train,V5,10,macro_auroc,29,-0.0003845211276921612,0.00331237305726928,0.8999402764396354,0.9003247975673275,0.9032526494969046
resnet,electrode,bandpass,train,V5,10,macro_auroc,43,0.00036267369378895076,0.006874721939533979,0.9001662253203229,0.8998035516265339,0.9070409472598568
resnet,electrode,bandpass,train,V5,10,macro_auroc,101,-0.00019914823902800194,0.0015962627302069654,0.90388098132134,0.904080129560368,0.905477244051547
resnet,electrode,bandpass,train,V5,10,macro_auroc,202,0.00028713188527684785,0.008617808897418144,0.8972047820124676,0.8969176501271907,0.9058225909098857
