model,kind,snr,active,comparison,condition,metric,seed,left_value,right_value,difference,n_seeds,mean_difference,std,ci95_low,ci95_high
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_auroc,29,0.7996865983795992,0.8771220235504608,-0.07743542517086155,3,-0.09953581937445848,0.019710890887915184,-0.14850038676071775,-0.0505712519881992
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_auroc,43,0.7675862619380939,0.8734607339086168,-0.10587447197052291,3,-0.09953581937445848,0.019710890887915184,-0.14850038676071775,-0.0505712519881992
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_ap,17,0.518357785199121,0.6994987306907255,-0.18114094549160453,3,-0.15885004246343082,0.023094567311551233,-0.21622012805790072,-0.10147995686896091
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_ap,29,0.5967491333065522,0.7317771406881841,-0.1350280073816319,3,-0.15885004246343082,0.023094567311551233,-0.21622012805790072,-0.10147995686896091
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_ap,43,0.5577816536181246,0.7181628281351806,-0.16038117451705602,3,-0.15885004246343082,0.023094567311551233,-0.21622012805790072,-0.10147995686896091
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_f1,17,0.4650547787611338,0.6439755981335089,-0.17892081937237508,3,-0.22316934688193998,0.040406703690748495,-0.3235451633264057,-0.12279353043747429
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_f1,29,0.4403628518417575,0.6728403568656813,-0.23247750502392384,3,-0.22316934688193998,0.040406703690748495,-0.3235451633264057,-0.12279353043747429
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_f1,43,0.4013232902513209,0.6594330065008419,-0.258109716249521,3,-0.22316934688193998,0.040406703690748495,-0.3235451633264057,-0.12279353043747429
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_auroc,17,0.7515274857953181,0.86728516533319,-0.11575767953787186,3,-0.09966778248348034,0.019624431965657323,-0.14841757400044422,-0.050917990966516447
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_auroc,29,0.7993178269929585,0.8771220235504608,-0.07780419655750226,3,-0.09966778248348034,0.019624431965657323,-0.14841757400044422,-0.050917990966516447
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_auroc,43,0.7680192625535499,0.8734607339086168,-0.10544147135506687,3,-0.09966778248348034,0.019624431965657323,-0.14841757400044422,-0.050917990966516447
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_ap,17,0.5210730508583101,0.6994987306907255,-0.17842567983241542,3,-0.15755089161796854,0.02218194804632945,-0.21265390527925923,-0.10244787795667784
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_ap,29,0.5975174843107949,0.7317771406881841,-0.13425965637738924,3,-0.15755089161796854,0.02218194804632945,-0.21265390527925923,-0.10244787795667784
