model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,10,all,electrode_minus_independent_rms,all,macro_f1,0.0021381213664876477,-0.013774862152731238,0.018051104885706534,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,electrode_minus_independent,all,loss,0.005205716567976942,-0.0005981218556463309,0.011206135243902196,0.0812918708129187,0.4877512248775122,0.0584101261715232,896,1000,3,patient,9208538574243979733,2000,12951959221913552455,10000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,0.00371475873567357,0.5301339285714286,0.004350607520471098,0.0042343355848227645
resnet,bandpass,10,all,electrode_minus_independent,all,mean_probability,0.0005027630333941444,-0.0004930258719895255,0.001444314417778545,0.3106689331066893,,0.03387133967486318,896,1000,3,patient,7223233848876666878,2000,6217351856022746324,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,5.2350821594397454e-05,0.5044642857142857,0.00045577918063962144,0.0002539754307220547
resnet,bandpass,10,all,electrode_minus_independent,all,probability_shift,0.004686815127087998,0.0030221359158182524,0.006413536505063671,9.999000099990002e-05,,0.18309339524065799,896,1000,3,patient,12985367991377105430,2000,17766916178802295746,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0034011460947416094,0.5680803571428571,0.004449837044607286,0.004039634298467711
resnet,bandpass,10,all,electrode_minus_independent,all,macro_auroc,-0.0031506890737775053,-0.013027149955797922,0.006725771808242912,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,electrode_minus_independent,all,macro_ap,-0.0015293581100815172,-0.011596718443551724,0.00853800222338869,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,electrode_minus_independent,all,macro_f1,0.001253810361450336,-0.012519250576590963,0.015026871299491635,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,covariance_minus_electrode,all,loss,-0.000485175979880608,-0.006258098809692421,0.004995599111305412,0.8747125287471252,1.0,-0.005347609055041654,896,1000,3,patient,4423198143936772438,2000,5346553553899799263,10000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,0.001189212740714693,0.5100446428571429,-0.0019425339499480614,0.001549833844055154
resnet,bandpass,10,all,covariance_minus_electrode,all,mean_probability,9.123269363305652e-05,-0.0008647295471538868,0.001041507771830352,0.8553144685531446,,0.006190956489805842,896,1000,3,patient,5848650192845772853,2000,17480342550522231059,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,-0.00012697493754482516,0.4955357142857143,-9.77003839031229e-05,-0.0005287689855315269
resnet,bandpass,10,all,covariance_minus_electrode,all,probability_shift,0.0005178294596146804,-0.0012132316356782199,0.0022385353359965655,0.5432456754324567,,0.02006260787350441,896,1000,3,patient,7732355015400849042,2000,4068485115933236965,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0004363129960741701,0.5089285714285714,0.0004450117049955312,0.0006373892062363622
