model,seed,kind,snr,condition,active,metric,clean,noisy,clean_drop,normalized_robustness
resnet,17,bandpass,20,electrode,all,macro_f1,0.6439755981335089,0.639489612306834,0.004485985826674921,0.9930339195449795
resnet,17,bandpass,20,electrode,all,auroc_NORM,0.8942763456266882,0.895303801989894,-0.001027456363205781,1.001148924901379
resnet,17,bandpass,20,electrode,all,auroc_MI,0.8235754933943629,0.8236538321647799,-7.83387704170746e-05,1.0000951203259996
resnet,17,bandpass,20,electrode,all,auroc_STTC,0.9093264810477926,0.9101233845086304,-0.0007969034608378278,1.0008763667136569
resnet,17,bandpass,20,electrode,all,auroc_CD,0.8635741678171499,0.8545789231477221,0.008995244669427804,0.9895837033972953
resnet,17,bandpass,20,electrode,all,auroc_HYP,0.8456733387799564,0.8486774918300655,-0.0030041530501090374,1.0035523799927755
resnet,17,bandpass,20,electrode,all,ap_NORM,0.8523628189114492,0.8539299375925137,-0.0015671186810645166,1.0018385582351703
resnet,17,bandpass,20,electrode,all,ap_MI,0.6026323895714301,0.6097858614211534,-0.00715347184972337,1.011870373999975
resnet,17,bandpass,20,electrode,all,ap_STTC,0.760235683067164,0.7570154918441506,0.0032201912230134244,0.9957642198390145
resnet,17,bandpass,20,electrode,all,ap_CD,0.7146642813118566,0.7004392560863282,0.014225025225528376,0.9800955139378218
resnet,17,bandpass,20,electrode,all,ap_HYP,0.5675984805917279,0.5744397315074617,-0.006841250915733843,1.0120529760889947
resnet,17,bandpass,20,electrode,all,f1_NORM,0.8247011952191236,0.816,0.008701195219123603,0.9894492753611189
resnet,17,bandpass,20,electrode,all,f1_MI,0.5760649087221096,0.5737051792828686,0.0023597294392410095,0.9959037091055043
resnet,17,bandpass,20,electrode,all,f1_STTC,0.7223300970873786,0.7245283018867924,-0.0021982047994137943,1.0030432136322085
resnet,17,bandpass,20,electrode,all,f1_CD,0.6275510204081632,0.6130653266331658,0.014485693774997421,0.976917105852919
resnet,17,bandpass,20,electrode,all,f1_HYP,0.4692307692307692,0.4701492537313433,-0.0009184845005741349,1.0019574259826949
resnet,17,bandpass,20,independent,all,macro_auroc,0.86728516533319,0.869010374607144,-0.0017252092739540315,1.0019892064823792
resnet,17,bandpass,20,independent,all,macro_ap,0.6994987306907255,0.6985034256081402,0.0009953050825853849,0.9985771166695312
resnet,17,bandpass,20,independent,all,macro_f1,0.6439755981335089,0.6398833367067491,0.00409226142675978,0.9936453160032548
resnet,17,bandpass,20,independent,all,auroc_NORM,0.8942763456266882,0.8966844464779518,-0.0024081008512635282,1.0026927927391094
resnet,17,bandpass,20,independent,all,auroc_MI,0.8235754933943629,0.8229879526162351,0.0005875407781277264,0.9992865975446823
resnet,17,bandpass,20,independent,all,auroc_STTC,0.9093264810477926,0.9117442969901988,-0.0024178159424061985,1.0026589085348285
resnet,17,bandpass,20,independent,all,auroc_CD,0.8635741678171499,0.8668384721583065,-0.003264304341156543,1.0037799930356925
resnet,17,bandpass,20,independent,all,auroc_HYP,0.8456733387799564,0.8467967047930283,-0.001123366013071836,1.0013283687217704
