model,snr,metric,contrast,mode,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,redundant_contrast,noise_sd
resnet,5,macro_f1,E-I,S_04,-0.0267293560161808,0.003936810904743518,3,-0.029866830729758726,-0.023531118546670976,2000,0,True,0.0019015764575674964
resnet,5,macro_f1,E-S,S_00,-0.028620512740693032,0.0022254450989064997,3,-0.03201429612869731,-0.025165243986752843,2000,0,False,0.0019376253304757632
resnet,5,macro_f1,E-S,S_01,-0.0018803570392119967,0.002220088336011852,3,-0.004774974165318949,0.0009974023112406393,2000,0,False,0.0021491280169251355
resnet,5,macro_f1,E-S,S_02,-0.005785507640238534,0.004108724031019059,3,-0.00823798625118948,-0.0033517733874106784,2000,0,False,0.0027614808306035024
resnet,5,macro_f1,E-S,S_03,-0.03566370426208116,0.003327846259007033,3,-0.039377765066735966,-0.03191630524575931,2000,0,False,0.0025931757959298785
resnet,5,macro_f1,E-S,S_04,-0.03392770564491374,0.004615981794886979,3,-0.03762582492072533,-0.030201253454964192,2000,0,False,0.0029751875391712855
resnet,5,macro_f1,S-I,S_00,0.001891156724512233,0.0023885828560783486,3,-0.00042537173568961347,0.004269197251174406,2000,0,False,0.0014525275391891832
resnet,5,macro_f1,S-I,S_01,-0.024848998976968805,0.005398408615204737,3,-0.027812408262130835,-0.02152207281013814,2000,0,False,0.002049938326040748
resnet,5,macro_f1,S-I,S_02,-0.020943848375942264,0.0020026385860633824,3,-0.02380748288730264,-0.017942461942746603,2000,0,False,0.0022204195398762873
resnet,5,macro_f1,S-I,S_03,0.008934348245900363,0.0024897283993800057,3,0.00664110000442579,0.011433682576589875,2000,0,False,0.002858348929546907
resnet,5,macro_f1,S-I,S_04,0.007198349628732947,0.0006948317205454729,3,0.004949946345984792,0.00954506157201199,2000,0,False,0.0042276894295226455
resnet,10,ece,E-I,S_00,0.006901529137470782,0.0007695635823117699,3,0.004903548094588565,0.008211857012739274,2000,0,True,0.000787845765184813
resnet,10,ece,E-I,S_01,0.006901529137470782,0.0007695635823117699,3,0.004903548094588565,0.008211857012739274,2000,0,True,0.000787845765184813
resnet,10,ece,E-I,S_02,0.006901529137470782,0.0007695635823117699,3,0.004903548094588565,0.008211857012739274,2000,0,True,0.000787845765184813
resnet,10,ece,E-I,S_03,0.006901529137470782,0.0007695635823117699,3,0.004903548094588565,0.008211857012739274,2000,0,True,0.000787845765184813
resnet,10,ece,E-I,S_04,0.006901529137470782,0.0007695635823117699,3,0.004903548094588565,0.008211857012739274,2000,0,True,0.000787845765184813
resnet,10,ece,E-S,S_00,0.008536892174974635,0.00030107493375688727,3,0.006107179713482785,0.00964376254548189,2000,0,False,0.0006355176132424422
resnet,10,ece,E-S,S_01,0.0017723350511673966,0.0028763307008175714,3,0.0005966456711160179,0.00257187972795912,2000,0,False,0.0006951666901283452
resnet,10,ece,E-S,S_02,0.0034481298303209815,0.0011244072117661196,3,0.0020754984637453107,0.004239267818023612,2000,0,False,0.0007300643596178003
resnet,10,ece,E-S,S_03,0.009977484025393328,0.0009763614823177031,3,0.007121810171286334,0.011511695040925264,2000,0,False,0.00041029105536307216
resnet,10,ece,E-S,S_04,0.009295506790065236,0.001204016507125664,3,0.00629626199580228,0.010760186528101451,2000,0,False,0.00043135484226875003
resnet,10,ece,S-I,S_00,-0.0016353630375038524,0.0008327612378156171,3,-0.00231699093848152,-0.00048723372472995384,2000,0,False,0.0011756118557958546
resnet,10,ece,S-I,S_01,0.0051291940863033856,0.0031678461557240207,3,0.003375712547363692,0.006594878799288013,2000,0,False,0.0007420264219115816
resnet,10,ece,S-I,S_02,0.0034533993071498015,0.0017937621161468016,3,0.0020800767161029306,0.00476709122611412,2000,0,False,0.0009924318356929523
resnet,10,ece,S-I,S_03,-0.0030759548879225446,0.0002486065258815825,3,-0.0038914061650865955,-0.0017336513952175522,2000,0,False,0.0009815608430397353
resnet,10,ece,S-I,S_04,-0.0023939776525944527,0.0012715654425329887,3,-0.003128218585514912,-0.0008663137682725326,2000,0,False,0.0008847962735407822
resnet,10,macro_auroc,E-I,S_00,-0.002406374729177948,0.001245870533634307,3,-0.0030608120344059013,-0.0017404223074512645,2000,0,True,0.0010928011493934015
resnet,10,macro_auroc,E-I,S_01,-0.002406374729177948,0.001245870533634307,3,-0.0030608120344059013,-0.0017404223074512645,2000,0,True,0.0010928011493934015
resnet,10,macro_auroc,E-I,S_02,-0.002406374729177948,0.001245870533634307,3,-0.0030608120344059013,-0.0017404223074512645,2000,0,True,0.0010928011493934015
resnet,10,macro_auroc,E-I,S_03,-0.002406374729177948,0.001245870533634307,3,-0.0030608120344059013,-0.0017404223074512645,2000,0,True,0.0010928011493934015
resnet,10,macro_auroc,E-I,S_04,-0.002406374729177948,0.001245870533634307,3,-0.0030608120344059013,-0.0017404223074512645,2000,0,True,0.0010928011493934015
resnet,10,macro_auroc,E-S,S_00,-0.002378553857708132,0.0008726111182913946,3,-0.0031479619791985013,-0.0016351644989594514,2000,0,False,0.0007625504658292051
resnet,10,macro_auroc,E-S,S_01,-2.433691533627728e-05,0.0010572054531673425,3,-0.0006907440029715481,0.0006180926236612466,2000,0,False,0.0012772355267849018
resnet,10,macro_auroc,E-S,S_02,-0.0005262610591500275,0.0003270021023919711,3,-0.0010696537389213322,5.477301110465296e-06,2000,0,False,0.0007303253391501007
resnet,10,macro_auroc,E-S,S_03,-0.003825380939940183,0.0016909515745093143,3,-0.004627631180322505,-0.003047089320084947,2000,0,False,0.0007143777440070538
resnet,10,macro_auroc,E-S,S_04,-0.0030537484814136726,0.0014913129648157306,3,-0.0037635273232563726,-0.0023712870731718606,2000,0,False,0.0008014988945106939
resnet,10,macro_auroc,S-I,S_00,-2.7820871469815458e-05,0.00038670408795841397,3,-0.0005346637741977005,0.0005002344788520957,2000,0,False,0.00034350368858030323
resnet,10,macro_auroc,S-I,S_01,-0.0023820378138416707,0.0005420434792787637,3,-0.0030152589985302926,-0.0017499934888546463,2000,0,False,0.0005254860003482193
