model,snr,metric,condition,mode,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,signed_mode_sd
tcn,5,ece,S_01,S_01,0.0658013631455165,0.0451232233813461,3,0.06550223932800638,0.07294970507770233,2000,0,0.000606201894365592,0.0
tcn,5,ece,S_02,S_02,0.06731182605798924,0.04597967358835217,3,0.06652723060325948,0.07489712288547971,2000,0,0.0004951501229006895,0.0
tcn,5,ece,S_03,S_03,0.04855669641971333,0.015124370993347193,3,0.049718295967525326,0.05570245479088313,2000,0,0.0004265932556402952,0.0
tcn,5,ece,S_04,S_04,0.0496318383542096,0.021133148952081977,3,0.05103063665079049,0.05646011825518504,2000,0,0.0005425274843376065,0.0
tcn,5,macro_auroc,E,,0.906763138684481,0.0010028591288789113,3,0.8983507894811956,0.9144091377345676,2000,0,0.0005972403805897106,0.0
tcn,5,macro_auroc,I,,0.910047299817993,0.001850787951376302,3,0.9017764707928846,0.9177196159634022,2000,0,0.000288516982220827,0.0
tcn,5,macro_auroc,S,,0.9103089204366582,0.0021156702691057226,3,0.9021477489545521,0.917861631983983,2000,0,0.0001921222767014579,0.0019176094314832456
tcn,5,macro_auroc,S_00,S_00,0.9107817109552737,0.0039056941227935404,3,0.9025607391082039,0.9182452142482561,2000,0,0.0005068338153329727,0.0
tcn,5,macro_auroc,S_01,S_01,0.9085354384350115,0.001315818227696291,3,0.9003332515195448,0.9160761078630376,2000,0,0.0006545232113843121,0.0
tcn,5,macro_auroc,S_02,S_02,0.9080748151414652,0.0013313931291148884,3,0.8997006231005132,0.9156491055883926,2000,0,0.00043636172703261425,0.0
tcn,5,macro_auroc,S_03,S_03,0.9123016117911682,0.0035148127667392432,3,0.904207130240748,0.9197518465570544,2000,0,0.0003889349506955229,0.0
tcn,5,macro_auroc,S_04,S_04,0.9118510258603721,0.0023293509650494657,3,0.9036492063356104,0.9192650045972515,2000,0,0.00030593674815950855,0.0
tcn,5,macro_f1,E,,0.6675940352124775,0.02699660383655511,3,0.6528435435023499,0.6814822043428053,2000,0,0.000913543133680338,0.0
tcn,5,macro_f1,I,,0.6964886124210148,0.015484402496788289,3,0.6816680630286963,0.7096999009778489,2000,0,0.0014268203871754751,0.0
tcn,5,macro_f1,S,,0.6978340540124708,0.0159672706133621,3,0.6833398221119539,0.7108516296576926,2000,0,0.00046957949267830676,0.015194424158364948
tcn,5,macro_f1,S_00,S_00,0.703923947424486,0.0097812640522872,3,0.6890458245836952,0.7168327847880028,2000,0,0.00148256556847382,0.0
tcn,5,macro_f1,S_01,S_01,0.6829014107751097,0.02816580339097062,3,0.6681308435336839,0.6964429498389354,2000,0,0.000937458519905739,0.0
tcn,5,macro_f1,S_02,S_02,0.6801921224456509,0.027798705636340553,3,0.665521596345342,0.6938104061852153,2000,0,0.0012797918729417768,0.0
tcn,5,macro_f1,S_03,S_03,0.7119291967261936,0.008230707521284443,3,0.6968570703078857,0.7250804893567705,2000,0,0.0008326197717103233,0.0
tcn,5,macro_f1,S_04,S_04,0.7102235926909137,0.014983513561433901,3,0.6953515368185113,0.7233948578088243,2000,0,0.001268806642009558,0.0
tcn,10,ece,E,,0.040417128372303934,0.010292144754557584,3,0.04153348423644994,0.048239417348120595,2000,0,0.0004779202098068844,0.0
tcn,10,ece,I,,0.042903168117228295,0.006075707160748311,3,0.043078660941630625,0.050780388374154065,2000,0,0.000571748649029885,0.0
tcn,10,ece,S,,0.04279354681092043,0.005748525452045853,3,0.04311344772416022,0.05061651222479254,2000,0,0.00024250940399685942,0.0006803925959017392
tcn,10,ece,S_00,S_00,0.04247758831435133,0.004461077452094156,3,0.04249337859064302,0.050563386124191416,2000,0,0.0006752056295904008,0.0
tcn,10,ece,S_01,S_01,0.043319097065846336,0.008330236960874047,3,0.04378785963987758,0.0512853334550447,2000,0,0.0008359152507436314,0.0
tcn,10,ece,S_02,S_02,0.04184897888192146,0.008446911814104563,3,0.042388694485085664,0.04952135270609678,2000,0,0.0004819393027148716,0.0
tcn,10,ece,S_03,S_03,0.04355688836535946,0.004690276746967643,3,0.043288488669396795,0.05161544162349454,2000,0,0.0006512433315120196,0.0
tcn,10,ece,S_04,S_04,0.04276518142712352,0.005088405288413467,3,0.04284085503141265,0.050857040789122746,2000,0,0.0008843049843887542,0.0
tcn,10,macro_auroc,E,,0.9156772739520783,0.0022563109074677013,3,0.9076687750633876,0.9230855482968617,2000,0,0.0004423057524125877,0.0
tcn,10,macro_auroc,I,,0.9162911587345813,0.002654814648578758,3,0.9082548429020603,0.9236910435439281,2000,0,0.00012713727037043826,0.0
tcn,10,macro_auroc,S,,0.9164796069510682,0.0027283517546527565,3,0.9084825374457272,0.9238234314404996,2000,0,0.00010882486626587933,0.0005342236749852234
tcn,10,macro_auroc,S_00,S_00,0.9164262311405086,0.003285609990941304,3,0.9084252253891338,0.9236739333214855,2000,0,0.0002482215866672949,0.0
