model,snr,metric,contrast,seed,mode,redundant_contrast,estimate
resnet,10,ece,E-S,17,S_02,False,0.003942452288350727
resnet,10,ece,E-S,17,S_03,False,0.010107734537796724
resnet,10,ece,E-S,17,S_04,False,0.008079812974192786
resnet,10,ece,E-S,29,S_00,False,0.008459145559503502
resnet,10,ece,E-S,29,S_01,False,0.0018352617732336925
resnet,10,ece,E-S,29,S_02,False,0.004240692390822936
resnet,10,ece,E-S,29,S_03,False,0.00894253515266767
resnet,10,ece,E-S,29,S_04,False,0.009319211455933488
resnet,10,ece,E-S,43,S_00,False,0.00828231580461564
resnet,10,ece,E-S,43,S_01,False,-0.0011349427112489832
resnet,10,ece,E-S,43,S_02,False,0.0021612448117892813
resnet,10,ece,E-S,43,S_03,False,0.010882182385715589
resnet,10,ece,E-S,43,S_04,False,0.010487495940069431
resnet,10,ece,S-I,17,S_00,False,-0.0017262620270985796
resnet,10,ece,S-I,17,S_01,False,0.0025262670421887026
resnet,10,ece,S-I,17,S_02,False,0.0032005008453554564
resnet,10,ece,S-I,17,S_03,False,-0.0029647814040905406
resnet,10,ece,S-I,17,S_04,False,-0.0009368598404866021
resnet,10,ece,S-I,29,S_00,False,-0.0024189456949636813
resnet,10,ece,S-I,29,S_01,False,0.0042049380913061285
resnet,10,ece,S-I,29,S_02,False,0.001799507473716885
resnet,10,ece,S-I,29,S_03,False,-0.002902335288127848
resnet,10,ece,S-I,29,S_04,False,-0.0032790115913936663
resnet,10,ece,S-I,43,S_00,False,-0.0007608813904492971
resnet,10,ece,S-I,43,S_01,False,0.008656377125415326
resnet,10,ece,S-I,43,S_02,False,0.005360189602377062
resnet,10,ece,S-I,43,S_03,False,-0.0033607479715492446
resnet,10,ece,S-I,43,S_04,False,-0.0029660615259030887
resnet,10,macro_auroc,E-I,17,S_00,True,-0.0038440805285994695
resnet,10,macro_auroc,E-I,17,S_01,True,-0.0038440805285994695
resnet,10,macro_auroc,E-I,17,S_02,True,-0.0038440805285994695
resnet,10,macro_auroc,E-I,17,S_03,True,-0.0038440805285994695
resnet,10,macro_auroc,E-I,17,S_04,True,-0.0038440805285994695
resnet,10,macro_auroc,E-I,29,S_00,True,-0.001731622989435207
resnet,10,macro_auroc,E-I,29,S_01,True,-0.001731622989435207
resnet,10,macro_auroc,E-I,29,S_02,True,-0.001731622989435207
resnet,10,macro_auroc,E-I,29,S_03,True,-0.001731622989435207
resnet,10,macro_auroc,E-I,29,S_04,True,-0.001731622989435207
resnet,10,macro_auroc,E-I,43,S_00,True,-0.0016434206694991664
resnet,10,macro_auroc,E-I,43,S_01,True,-0.0016434206694991664
resnet,10,macro_auroc,E-I,43,S_02,True,-0.0016434206694991664
resnet,10,macro_auroc,E-I,43,S_03,True,-0.0016434206694991664
resnet,10,macro_auroc,E-I,43,S_04,True,-0.0016434206694991664
resnet,10,macro_auroc,E-S,17,S_00,False,-0.0033773413298402075
resnet,10,macro_auroc,E-S,17,S_01,False,-0.0011434003019353638
resnet,10,macro_auroc,E-S,17,S_02,False,-0.0004849892093255666
resnet,10,macro_auroc,E-S,17,S_03,False,-0.005777162298243432
resnet,10,macro_auroc,E-S,17,S_04,False,-0.004730088249989273
resnet,10,macro_auroc,E-S,29,S_00,False,-0.0019943462879111937
resnet,10,macro_auroc,E-S,29,S_01,False,0.0009576355700120498
resnet,10,macro_auroc,E-S,29,S_02,False,-0.0008719398285886674
resnet,10,macro_auroc,E-S,29,S_03,False,-0.0028967065119153887
resnet,10,macro_auroc,E-S,29,S_04,False,-0.002556794209673733
resnet,10,macro_auroc,E-S,43,S_00,False,-0.0017639739553729956
resnet,10,macro_auroc,E-S,43,S_01,False,0.00011275398591448216
resnet,10,macro_auroc,E-S,43,S_02,False,-0.00022185413953584865
resnet,10,macro_auroc,E-S,43,S_03,False,-0.002802274009661728
resnet,10,macro_auroc,E-S,43,S_04,False,-0.0018743629845780114
resnet,10,macro_auroc,S-I,17,S_00,False,-0.0004667391987592621
