object,snr,noise_seed,mode,n_valid,n_null,mean,sd,median,q1,q3,iqr,min,max
S_noise,0,303,S_00,2158,0,0.45300179533028706,0.009156968701626978,0.4529347979869428,0.44716277308612806,0.4591251558503603,0.011962382764232227,0.42263734107090245,0.4830099490540349
S_input,0,303,S_00,2158,0,0.22655418002300662,0.004839818210375691,0.2264878601602635,0.22328596362776698,0.22980070691464408,0.006514743286877095,0.21074768643657754,0.24227675608887864
S_noise,0,303,S_01,2158,0,0.3141087440894767,0.009653978501113086,0.3139231795695019,0.3075684369277554,0.3206798029994401,0.013111366071684727,0.2812257746531999,0.3449556879134451
S_input,0,303,S_01,2158,0,0.15711077621000544,0.005047444077669216,0.15707869980052422,0.15365837656362513,0.16058736326653386,0.006928986702908729,0.14141613713201553,0.17432628704159028
S_noise,0,303,S_02,2158,0,0.23154500790839266,0.009181497461318697,0.23123826678669038,0.2250512359192429,0.2376933949292692,0.0126421590100263,0.20428133855177516,0.2622347627449602
S_input,0,303,S_02,2158,0,0.11577779966062583,0.004801530053140108,0.11560940085745311,0.11235081222773462,0.11906079064917185,0.006709978421437238,0.1019825829643715,0.13117537496871687
S_noise,0,303,S_03,2158,0,0.5557537771606192,0.010334435377276635,0.5557546377670872,0.5487470744182998,0.5627674017960087,0.014020327377708863,0.5202230051646839,0.5886370056855699
S_input,0,303,S_03,2158,0,0.2778386328206723,0.0055598886924936,0.27774753940805563,0.2740069593805123,0.2816378752158565,0.007630915835344199,0.25989673466045426,0.29771560266158886
S_noise,0,303,S_04,2158,0,0.4991521916051948,0.009342232979558296,0.4992614927533161,0.4928467899997768,0.5055555674400355,0.012708777440258667,0.4680605944650282,0.5294076308691695
S_input,0,303,S_04,2158,0,0.24955056661119868,0.005092375415037584,0.2496142428262023,0.24620690483443036,0.2530195327740675,0.006812627939637161,0.23335517836393044,0.268035499004684
E_noise,0,404,,2158,0,6.190717353857653e-16,6.872567631625119e-17,6.102713816576672e-16,5.703311679086769e-16,6.571097688213309e-16,8.677860091265395e-17,4.627893466790326e-16,8.94204828755989e-16
E_input,0,404,,2158,0,6.834590198335905e-07,4.455749916750611e-07,5.984690543683774e-07,3.903998218120962e-07,8.730728248516238e-07,4.826730030395276e-07,1.2477425443876735e-08,5.821456547313184e-06
I_noise,0,404,,2158,0,0.3745193366437458,0.008809278817419412,0.3744255051272128,0.3686810810983582,0.3804050538221151,0.011723972723756915,0.3372542414396308,0.40417248432754826
I_input,0,404,,2158,0,0.18726489794214768,0.004733798161102286,0.1872391657551687,0.1841342569774539,0.1903440463470667,0.006209789369612806,0.16866200300312878,0.2055733947326056
S_noise,0,404,S_00,2158,0,0.45295162271100586,0.009228621833036499,0.4529692093062464,0.4465856986893421,0.4591242477507663,0.012538549061424209,0.42195533727331247,0.48337463997279373
S_input,0,404,S_00,2158,0,0.22650200357625663,0.004934226489954888,0.22644751064500285,0.22319167831370293,0.22974221640460826,0.0065505380909053335,0.2100958333840711,0.24328601929235472
S_noise,0,404,S_01,2158,0,0.3143120290064729,0.009764995656877825,0.31432623908821494,0.30787281802349353,0.3209378511593929,0.013065033135899351,0.2838514301667691,0.3465480616815555
S_input,0,404,S_01,2158,0,0.15722617319261184,0.0051149731824137,0.15717874219941647,0.15391247046258716,0.16056600473212562,0.006653534269538464,0.14128559645025082,0.17563627907890686
S_noise,0,404,S_02,2158,0,0.23205252937525048,0.009300436591359016,0.2320419570982198,0.22574879070562692,0.2382831774507107,0.012534386745083781,0.19931316804487223,0.26672646093917685
S_input,0,404,S_02,2158,0,0.11601677916856692,0.004816425031513328,0.11604452954315551,0.11277075791983343,0.11917075417600002,0.006399996256166593,0.10029963851399988,0.13265855423990502
S_noise,0,404,S_03,2158,0,0.5560248531740684,0.010327111713271057,0.5559832272163903,0.5490672359655087,0.5631904451324153,0.01412320916690668,0.5231341968996266,0.58908743204286
S_input,0,404,S_03,2158,0,0.2780739612311664,0.005613211082684579,0.2781477394110391,0.2742495178026571,0.2818024991410576,0.0075529813384004885,0.2618719130882279,0.29671226131390344
S_noise,0,404,S_04,2158,0,0.4993342799948561,0.00937348678817964,0.49932415302786737,0.49285410747332026,0.5056536748192249,0.012799567345904594,0.46874775805942215,0.5304539756872768
S_input,0,404,S_04,2158,0,0.24962123895021213,0.00514659990768844,0.24952814335973833,0.246026088817558,0.2529665005516981,0.006940411734140117,0.23106856579044974,0.26957774081875885
E_noise,0,505,,2158,0,6.189962406363235e-16,6.943904380661122e-17,6.110804474344107e-16,5.700838208882596e-16,6.581973853628882e-16,8.811356447462861e-17,4.6585870718519675e-16,9.672573704302628e-16
E_input,0,505,,2158,0,6.83331652032716e-07,4.439277445814043e-07,5.983576701146364e-07,3.9186337158197e-07,8.695031443498022e-07,4.776397727678322e-07,1.250590189504383e-08,5.834806279992289e-06
I_noise,0,505,,2158,0,0.3742109205639801,0.008893981328546957,0.3741778905061073,0.36796327375914617,0.3803996117616344,0.012436338002488223,0.3487043823142079,0.40288335630186456
I_input,0,505,,2158,0,0.1871851763655763,0.004773784046534028,0.18710948597681687,0.18393312815318857,0.19037130615625653,0.006438178003067951,0.17049284790239846,0.20230765981303409
S_noise,0,505,S_00,2158,0,0.4528030527695744,0.009124064543660347,0.45300731282257745,0.44653345718384385,0.45896293046180225,0.012429473277958403,0.42143480106446074,0.4864550079828823
S_input,0,505,S_00,2158,0,0.22644550759638665,0.00492731416799173,0.22645755244758772,0.22304243113056332,0.22976198304078796,0.006719551910224636,0.20979205066792486,0.2439850859502476
S_noise,0,505,S_01,2158,0,0.31368718102077775,0.009760633567275924,0.3134343503694884,0.30713853195863494,0.3201727055114129,0.013034173552777972,0.2823121024288963,0.3480893324389617
S_input,0,505,S_01,2158,0,0.15687584540063917,0.005123962016621588,0.15677919144270924,0.15352614598957892,0.16021774772174902,0.006691601732170094,0.14038763839961857,0.1753055067350582
S_noise,0,505,S_02,2158,0,0.23146591652040976,0.009397346512184613,0.23126222324696877,0.22523422649170077,0.2375435181711667,0.012309291679465928,0.19744665171309755,0.26382047248396573
S_input,0,505,S_02,2158,0,0.11569130143239509,0.004882139942212933,0.11557192484467205,0.1124773435139583,0.11878414237212312,0.006306798858164819,0.0992922579961088,0.13319310430780076
S_noise,0,505,S_03,2158,0,0.5558093328152189,0.010320459914120518,0.5558212491452622,0.5488554652890433,0.5627876036807398,0.013932138391696491,0.523306921072865,0.5858260404814638
S_input,0,505,S_03,2158,0,0.277873222507594,0.005593121691260583,0.2779589689553065,0.27413868458683677,0.28163408833089637,0.007495403744059603,0.26030940122798774,0.2951768643640193
S_noise,0,505,S_04,2158,0,0.49921799274516,0.009312105127921471,0.499109039808649,0.4929098798057333,0.5057709628837889,0.012861083078055557,0.4688926213198465,0.5284845306333094
S_input,0,505,S_04,2158,0,0.24959591994244143,0.005148611284946588,0.2495773400124462,0.24615616806493978,0.2531057058743997,0.006949537809459894,0.23334470332575225,0.2671687336785132
