object,snr,noise_seed,mode,n_valid,n_null,mean,sd,median,q1,q3,iqr,min,max
S_noise,5,101,S_03,100,0,0.5564446918816138,0.010050432547242309,0.5557146042197763,0.5502148642149081,0.562439344955585,0.012224480740676946,0.5342531172291749,0.5864622543846262
S_input,5,101,S_03,100,0,0.13375061761048124,0.002529859402502709,0.13352919132209295,0.13193129052340924,0.13537345229517253,0.0034421617717632913,0.12774397684308536,0.140603425170178
S_noise,5,101,S_04,100,0,0.4999814646560418,0.009028632310982308,0.4987251330858215,0.4946926748479988,0.5058840687439332,0.011191393895934432,0.4798608403438566,0.5267720852653041
S_input,5,101,S_04,100,0,0.12012516448957747,0.0023025080740503657,0.12004658713242439,0.1185889979774048,0.12149333811771505,0.0029043401403102548,0.11507204873315105,0.1274361534809997
E_noise,5,202,,100,0,1.0783647803748483e-15,1.720510402391035e-16,1.056467321280029e-15,9.824325778284702e-16,1.1563408530337768e-15,1.7390827520530659e-16,7.512297848789829e-16,1.7130414239845503e-15
E_input,5,202,,100,0,9.279627199280024e-07,5.538863983150639e-07,8.881879466939634e-07,5.820992967369308e-07,1.1034611559881344e-06,5.213618592512035e-07,4.780092810319592e-08,3.1449685075187896e-06
I_noise,5,202,,100,0,0.3731906584604298,0.009772988806392883,0.37218737315652095,0.36651080769702427,0.379568826680024,0.013058018982999742,0.3509192017085332,0.397804661251104
I_input,5,202,,100,0,0.08967844565128416,0.0026098881525656414,0.08949360891423212,0.08789515872742973,0.09198954750551754,0.004094388778087807,0.08333887808377807,0.09642454621515069
S_noise,5,202,S_00,100,0,0.4515268558768307,0.010335661506523892,0.45220294338035405,0.4439926258419059,0.4586698606197758,0.014677234777869919,0.42885517282373853,0.47820890971066726
S_input,5,202,S_00,100,0,0.10852591434727643,0.0024364697336390017,0.10873585886204643,0.1068665591411697,0.10995861673747653,0.0030920575963068325,0.10165725133968023,0.11563386314968341
S_noise,5,202,S_01,100,0,0.3132780912399706,0.010705652687822802,0.3120112929915224,0.3069099140061158,0.3205895869798378,0.013679672973722024,0.2861491425879179,0.34322285310872797
S_input,5,202,S_01,100,0,0.0752468814377197,0.002569308260677579,0.07490198659857653,0.07353781226412254,0.07685540981262269,0.0033175975485001535,0.06928583838165771,0.08253200977910734
S_noise,5,202,S_02,100,0,0.23107058336066463,0.008916739120386322,0.2304076976465973,0.22551320056587787,0.23655057366290064,0.011037373097022768,0.2087047071515694,0.25676102519509125
S_input,5,202,S_02,100,0,0.05554161167488378,0.002195645002945722,0.05524206375023101,0.05408036947498074,0.05699067723114462,0.0029103077561638824,0.05026249890341771,0.06235130574114743
S_noise,5,202,S_03,100,0,0.5540533035044047,0.0114363075972992,0.5546521397808875,0.5463666883957876,0.5624043318399081,0.01603764344412051,0.5296836719823989,0.5796436094660034
S_input,5,202,S_03,100,0,0.1330830127791288,0.0030397841254488573,0.13313688244648061,0.1309425378421857,0.135220859325076,0.004278321482890285,0.12684563457397072,0.1396084862403335
S_noise,5,202,S_04,100,0,0.49758849787415693,0.01028722589663334,0.4987072381491075,0.4907644720112488,0.5045488145529071,0.013784342541658334,0.47588206253061305,0.5208186841467989
S_input,5,202,S_04,100,0,0.11959545735161276,0.0027496035404408954,0.11970170374788666,0.11772553842025547,0.12143711213006915,0.003711573709813676,0.11287902292648397,0.12479928851941703
E_noise,5,303,,100,0,1.0918179442124204e-15,1.68987454841341e-16,1.0708306131246934e-15,9.95292218187524e-16,1.1959695324917934e-15,2.0067731430426928e-16,7.087521760605618e-16,1.7555657444303778e-15
E_input,5,303,,100,0,9.256045140296375e-07,5.50403354752378e-07,8.936524557821562e-07,5.828329164992037e-07,1.0927888617322673e-06,5.099559452330636e-07,4.6449982046052516e-08,3.0516278983982155e-06
I_noise,5,303,,100,0,0.37368649786358643,0.008316736328543774,0.37337767250009446,0.3691352325586764,0.37832763210987125,0.00919239955119483,0.3486161579431131,0.3978400671457633
I_input,5,303,,100,0,0.0897174770937978,0.002207978205109816,0.08953295485040699,0.08862186984240635,0.09119324240744485,0.0025713725650385044,0.084442955177036,0.09501151948379151
S_noise,5,303,S_00,100,0,0.45211653828329385,0.009013357927389854,0.4528098707962567,0.44624735163224055,0.457753451510906,0.011506099878665466,0.4226373401218886,0.47338380668589736
S_input,5,303,S_00,100,0,0.10860058580303464,0.00229318595821779,0.10854097045082266,0.10699953744517234,0.11017470451065572,0.003175167065483389,0.10130234954092049,0.11415474741180902
S_noise,5,303,S_01,100,0,0.3147215393699445,0.011433607377301378,0.3141068626075468,0.306223522419026,0.32342382582565676,0.017200303406630757,0.2863195014499882,0.34495568729293113
S_input,5,303,S_01,100,0,0.07562926653448218,0.0028603016105475483,0.07548171984531611,0.07375507727698333,0.07765528216873413,0.0039002048917508025,0.0680673909133921,0.08363664711432708
S_noise,5,303,S_02,100,0,0.23295871045269256,0.01092543452835941,0.23165493469799142,0.22516791751610374,0.23999683383384376,0.014828916317740026,0.21117604779635152,0.262234762883398
S_input,5,303,S_02,100,0,0.055995451151898974,0.00270768746776939,0.05590810045120462,0.05412282274317144,0.05774655910494158,0.003623736361770137,0.04968900960625054,0.06298588764201758
S_noise,5,303,S_03,100,0,0.555449988066381,0.01103680658525818,0.55511209224567,0.5485229883888703,0.5636971656134654,0.015174177224595131,0.5202230042480259,0.5801466686597452
S_input,5,303,S_03,100,0,0.13349882266111698,0.0027712329899457926,0.13345847405844796,0.1316819139704937,0.13556722474287042,0.003885310772376721,0.12511518222856788,0.13960629896299726
