kind,snr,condition,active,lead,rms_mean,variance_mean,snr_mean,snr_p05,snr_p95
bw,0,independent_rms,all,V1,0.17826510102820853,0.04173733144571565,0.978322824781912,-7.720168484101237,9.400800935762774
bw,0,independent_rms,all,V2,0.2062900425905333,0.06091885752926791,4.113061552244626,-5.496908467810138,13.869020496469997
bw,0,independent_rms,all,V3,0.19718995392452654,0.060470771347693894,4.418340696600842,-3.748203728731824,12.621351281454821
bw,0,independent_rms,all,V4,0.18297153499745655,0.05315191114374504,4.236421249577683,-4.527195319309559,14.061375634364628
bw,0,independent_rms,all,V5,0.19949537448807458,0.06306053651264903,2.1676553359206836,-7.811762355869176,10.01355414967034
bw,0,independent_rms,all,V6,0.1832162824872336,0.046866593565852835,1.6653840876273658,-7.618417795448534,11.801059033884133
bw,20,electrode,all,I,0.021061191497771775,0.0005547742401331276,17.00306678372975,8.923605320261473,25.40786744207788
bw,20,electrode,all,II,0.02063379086729049,0.0005694032330869358,18.220907226709784,10.626347123248983,28.220341025842586
bw,20,electrode,all,III,0.021005993301767986,0.0006242135113865185,16.779992418990105,8.607670378579495,26.29838838548195
bw,20,electrode,all,aVR,0.018246541602117347,0.00040603535876340214,17.8194408485451,9.767388889720324,25.513483013242325
bw,20,electrode,all,aVL,0.018572115717901613,0.0004471430674880891,16.05937591855446,7.964582616472863,24.144395390236053
bw,20,electrode,all,aVF,0.017919232594813435,0.00045811481220344526,17.48843867801415,8.547409221898034,26.668487812434797
bw,20,electrode,all,V1,0.01782651010282085,0.0004173733144571565,20.978322824781912,12.279831515898765,29.400800935762774
bw,20,electrode,all,V2,0.02062900425905333,0.000609188575292679,24.113061552244627,14.503091532189863,33.86902049647
bw,20,electrode,all,V3,0.01971899539245265,0.0006047077134769389,24.41834069660084,16.251796271268176,32.62135128145482
bw,20,electrode,all,V4,0.01829715349974565,0.0005315191114374505,24.236421249577685,15.472804680690441,34.06137563436463
bw,20,electrode,all,V5,0.019949537448807456,0.0006306053651264903,22.167655335920685,12.188237644130824,30.013554149670338
bw,20,electrode,all,V6,0.018321628248723357,0.0004686659356585283,21.665384087627366,12.381582204551465,31.801059033884133
bw,10,electrode,all,I,0.0666013353699319,0.005547742401331276,7.00306678372975,-1.0763946797385269,15.40786744207788
bw,10,electrode,all,II,0.06524977590421904,0.005694032330869358,8.220907226709784,0.626347123248983,18.220341025842583
bw,10,electrode,all,III,0.06642678334782752,0.006242135113865185,6.779992418990106,-1.392329621420504,16.298388385481953
bw,10,electrode,all,aVR,0.05770063088370863,0.004060353587634021,7.819440848545098,-0.232611110279674,15.513483013242327
bw,10,electrode,all,aVL,0.05873018663678229,0.004471430674880891,6.059375918554455,-2.0354173835271365,14.144395390236049
bw,10,electrode,all,aVF,0.05666558892193958,0.004581148122034453,7.488438678014147,-1.4525907781019662,16.668487812434797
bw,10,electrode,all,V1,0.056372374656916295,0.004173733144571564,10.978322824781912,2.279831515898765,19.400800935762774
bw,10,electrode,all,V2,0.0652346393199227,0.0060918857529267895,14.113061552244625,4.503091532189863,23.869020496469997
