model,kind,snr,active,comparison,condition,metric,seed,left_value,right_value,difference,n_seeds,mean_difference,std,ci95_low,ci95_high
resnet,bandpass,10,LA,noisy_minus_clean,covariance,macro_f1,17,0.6780123842847681,0.7118815125857424,-0.03386912830097433,3,-0.029163371665081355,0.006618323837153107,-0.0456041994973258,-0.012722543832836913
resnet,bandpass,10,LA,noisy_minus_clean,covariance,macro_f1,29,0.690232865677464,0.7222581554037724,-0.03202528972630836,3,-0.029163371665081355,0.006618323837153107,-0.0456041994973258,-0.012722543832836913
resnet,bandpass,10,LA,noisy_minus_clean,covariance,macro_f1,43,0.6974721266198335,0.7190678235877949,-0.021595696967961375,3,-0.029163371665081355,0.006618323837153107,-0.0456041994973258,-0.012722543832836913
resnet,bandpass,10,LA,noisy_minus_clean,electrode,macro_auroc,17,0.8919416187451734,0.9068922993183458,-0.014950680573172392,3,-0.011454363210431326,0.0030338756147952053,-0.01899092803781042,-0.003917798383052234
resnet,bandpass,10,LA,noisy_minus_clean,electrode,macro_auroc,29,0.8983953853491083,0.907911261424449,-0.009515876075340657,3,-0.011454363210431326,0.0030338756147952053,-0.01899092803781042,-0.003917798383052234
resnet,bandpass,10,LA,noisy_minus_clean,electrode,macro_auroc,43,0.8988039715405318,0.9087005045233127,-0.009896532982780926,3,-0.011454363210431326,0.0030338756147952053,-0.01899092803781042,-0.003917798383052234
resnet,bandpass,10,LA,noisy_minus_clean,electrode,macro_ap,17,0.7557881271801541,0.7807184945903615,-0.024930367410207377,3,-0.0190633535962255,0.005314867750066458,-0.0322662170069676,-0.005860490185483401
resnet,bandpass,10,LA,noisy_minus_clean,electrode,macro_ap,29,0.7763463024750067,0.7909168445498038,-0.014570542074797133,3,-0.0190633535962255,0.005314867750066458,-0.0322662170069676,-0.005860490185483401
resnet,bandpass,10,LA,noisy_minus_clean,electrode,macro_ap,43,0.7688823332111622,0.7865714845148342,-0.01768915130367199,3,-0.0190633535962255,0.005314867750066458,-0.0322662170069676,-0.005860490185483401
resnet,bandpass,10,LA,noisy_minus_clean,electrode,macro_f1,17,0.6830170147381547,0.7118815125857424,-0.02886449784758771,3,-0.029528826949421754,0.007620072375590007,-0.048458136103657234,-0.01059951779518627
resnet,bandpass,10,LA,noisy_minus_clean,electrode,macro_f1,29,0.6847988415134206,0.7222581554037724,-0.03745931389035173,3,-0.029528826949421754,0.007620072375590007,-0.048458136103657234,-0.01059951779518627
resnet,bandpass,10,LA,noisy_minus_clean,electrode,macro_f1,43,0.696805154477469,0.7190678235877949,-0.022262669110325817,3,-0.029528826949421754,0.007620072375590007,-0.048458136103657234,-0.01059951779518627
resnet,bandpass,10,LA,noisy_minus_clean,independent_rms,macro_auroc,17,0.894644796795044,0.9068922993183458,-0.012247502523301756,3,-0.009054901301862336,0.003077573811561194,-0.016700018467761958,-0.0014097841359627123
resnet,bandpass,10,LA,noisy_minus_clean,independent_rms,macro_auroc,29,0.8991010196395781,0.907911261424449,-0.008810241784870887,3,-0.009054901301862336,0.003077573811561194,-0.016700018467761958,-0.0014097841359627123
resnet,bandpass,10,LA,noisy_minus_clean,independent_rms,macro_auroc,43,0.9025935449258984,0.9087005045233127,-0.006106959597414363,3,-0.009054901301862336,0.003077573811561194,-0.016700018467761958,-0.0014097841359627123
resnet,bandpass,10,LA,noisy_minus_clean,independent_rms,macro_ap,17,0.7582201309094238,0.7807184945903615,-0.022498363680937716,3,-0.016914077226193498,0.0049247489670126345,-0.02914783185590146,-0.0046803225964855335
resnet,bandpass,10,LA,noisy_minus_clean,independent_rms,macro_ap,29,0.7758648777657473,0.7909168445498038,-0.015051966784056514,3,-0.016914077226193498,0.0049247489670126345,-0.02914783185590146,-0.0046803225964855335
resnet,bandpass,10,LA,noisy_minus_clean,independent_rms,macro_ap,43,0.7733795833012479,0.7865714845148342,-0.013191901213586266,3,-0.016914077226193498,0.0049247489670126345,-0.02914783185590146,-0.0046803225964855335
resnet,bandpass,10,LA,noisy_minus_clean,independent_rms,macro_f1,17,0.6891744215169584,0.7118815125857424,-0.02270709106878399,3,-0.021010251032304954,0.005707523906549381,-0.035188526409105136,-0.0068319756555047725
resnet,bandpass,10,LA,noisy_minus_clean,independent_rms,macro_f1,29,0.6965812197160145,0.7222581554037724,-0.025676935687757863,3,-0.021010251032304954,0.005707523906549381,-0.035188526409105136,-0.0068319756555047725
resnet,bandpass,10,LA,noisy_minus_clean,independent_rms,macro_f1,43,0.7044210972474219,0.7190678235877949,-0.014646726340373006,3,-0.021010251032304954,0.005707523906549381,-0.035188526409105136,-0.0068319756555047725
resnet,bandpass,10,LL,noisy_minus_clean,covariance,macro_auroc,17,0.8839898747887341,0.9068922993183458,-0.022902424529611665,3,-0.015498771469018457,0.00641661556773069,-0.031438528182424985,0.00044098524438807365
resnet,bandpass,10,LL,noisy_minus_clean,covariance,macro_auroc,29,0.8958645238460828,0.907911261424449,-0.012046737578366162,3,-0.015498771469018457,0.00641661556773069,-0.031438528182424985,0.00044098524438807365
resnet,bandpass,10,LL,noisy_minus_clean,covariance,macro_auroc,43,0.8971533522242352,0.9087005045233127,-0.011547152299077545,3,-0.015498771469018457,0.00641661556773069,-0.031438528182424985,0.00044098524438807365
resnet,bandpass,10,LL,noisy_minus_clean,covariance,macro_ap,17,0.7442089200542085,0.7807184945903615,-0.036509574536153,3,-0.024387819665596517,0.010601208964723812,-0.05072268264468626,0.001947043313493227
resnet,bandpass,10,LL,noisy_minus_clean,covariance,macro_ap,29,0.7740673750459159,0.7909168445498038,-0.01684946950388788,3,-0.024387819665596517,0.010601208964723812,-0.05072268264468626,0.001947043313493227
resnet,bandpass,10,LL,noisy_minus_clean,covariance,macro_ap,43,0.7667670695580855,0.7865714845148342,-0.019804414956748673,3,-0.024387819665596517,0.010601208964723812,-0.05072268264468626,0.001947043313493227
resnet,bandpass,10,LL,noisy_minus_clean,covariance,macro_f1,17,0.6577244813545565,0.7118815125857424,-0.05415703123118587,3,-0.04171031073366164,0.012562313235711036,-0.07291682678892501,-0.010503794678398265
resnet,bandpass,10,LL,noisy_minus_clean,covariance,macro_f1,29,0.6803197651203082,0.7222581554037724,-0.04193839028346413,3,-0.04171031073366164,0.012562313235711036,-0.07291682678892501,-0.010503794678398265
