model,kind,snr,condition,active,metric,mean,n_seeds,rank,n_models,interpretation
resnet,bandpass,10,electrode,V3,macro_auroc,0.8995509099011656,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V3,macro_auroc,0.9170901495314747,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V3,macro_f1,0.7016456959472616,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V3,macro_f1,0.7349854057373694,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V4,macro_ap,0.7738982339766426,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V4,macro_ap,0.807177308273098,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V4,macro_auroc,0.9010508931996731,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V4,macro_auroc,0.9175740516816755,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V4,macro_f1,0.7038068627421888,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V4,macro_f1,0.736142135199295,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V5,macro_ap,0.7711577887205704,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V5,macro_ap,0.8058310336653922,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V5,macro_auroc,0.8995204221277352,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V5,macro_auroc,0.9176016999703075,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V5,macro_f1,0.7001008420328952,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V5,macro_f1,0.7357074751454203,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V6,macro_ap,0.7723235319928768,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V6,macro_ap,0.8058599918198958,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V6,macro_auroc,0.8994493365513119,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V6,macro_auroc,0.9167013097917898,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V6,macro_f1,0.7016422903746924,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
