kind,snr,condition,active,metric,n_models,spearman,kendall,spearman_p_value,kendall_p_value,interpretation
bandpass,10,independent_rms,V2,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V2,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V2,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V3,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V3,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V3,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V4,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V4,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V4,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V5,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V5,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V5,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V6,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V6,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V6,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,covariance,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,covariance,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,covariance,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,electrode,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,electrode,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,electrode,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,independent,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,independent,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,independent,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,independent_rms,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,independent_rms,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,20,independent_rms,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bw,0,covariance,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bw,0,covariance,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bw,0,covariance,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bw,0,electrode,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
