model,seed,kind,snr,condition,active,metric,clean,noisy,clean_drop,normalized_robustness
resnet,17,bandpass,10,covariance,V1,auroc_NORM,0.9340980287369056,0.92795700326299,0.006141025473915596,0.9934257162674747
resnet,17,bandpass,10,covariance,V1,auroc_MI,0.88623473541384,0.8741406603346901,0.012094075079149946,0.986353417896119
resnet,17,bandpass,10,covariance,V1,auroc_STTC,0.9193764165289954,0.9080652896021348,0.011311126926860537,0.9876969577155871
resnet,17,bandpass,10,covariance,V1,auroc_CD,0.9032148887853731,0.8900991324094562,0.013115756375916998,0.9854788084876012
resnet,17,bandpass,10,covariance,V1,auroc_HYP,0.8915374271266145,0.8816210100814895,0.009916417045125026,0.9888771724614254
resnet,17,bandpass,10,covariance,V1,ap_NORM,0.9086485024952592,0.8973510810737934,0.011297421421465836,0.9875667858457596
resnet,17,bandpass,10,covariance,V1,ap_MI,0.7463392051587087,0.7250368979547079,0.021302307204000726,0.971457606598005
resnet,17,bandpass,10,covariance,V1,ap_STTC,0.8025813723497355,0.7834466160042447,0.019134756345490778,0.9761584843534984
resnet,17,bandpass,10,covariance,V1,ap_CD,0.8134023735586858,0.7983144367389472,0.015087936819738634,0.9814508325630901
resnet,17,bandpass,10,covariance,V1,ap_HYP,0.632621019389418,0.600857940725131,0.03176307866428696,0.9497913004915751
resnet,17,bandpass,10,covariance,V1,f1_NORM,0.8484848484848485,0.8255139694254086,0.022970879059439953,0.9729271782502277
resnet,17,bandpass,10,covariance,V1,f1_MI,0.6786885245901639,0.6604651162790698,0.018223408311094147,0.9731490843711086
resnet,17,bandpass,10,covariance,V1,f1_STTC,0.7306967984934086,0.7236842105263158,0.007012587967092809,0.9904028757447109
resnet,17,bandpass,10,covariance,V1,f1_CD,0.7054871220604704,0.6992561105207227,0.0062310115397476995,0.9911677884033654
resnet,17,bandpass,10,covariance,V1,f1_HYP,0.5960502692998204,0.563922942206655,0.03212732709316546,0.946099634965602
resnet,17,bandpass,10,covariance,V2,macro_auroc,0.9068922993183458,0.8978019513428178,0.00909034797552799,0.9899763753828866
resnet,17,bandpass,10,covariance,V2,macro_ap,0.7807184945903615,0.76628955583914,0.01442893875122142,0.9815183848567931
resnet,17,bandpass,10,covariance,V2,macro_f1,0.7118815125857424,0.692502757310969,0.019378755274773396,0.9727781169574732
resnet,17,bandpass,10,covariance,V2,auroc_NORM,0.9340980287369056,0.9265727307881142,0.007525297948791421,0.9919437813609787
resnet,17,bandpass,10,covariance,V2,auroc_MI,0.88623473541384,0.8743430574400725,0.011891677973767556,0.9865817965607033
resnet,17,bandpass,10,covariance,V2,auroc_STTC,0.9193764165289954,0.9129815905458818,0.006394825983113583,0.9930443876206336
resnet,17,bandpass,10,covariance,V2,auroc_CD,0.9032148887853731,0.8942563370987151,0.008958551686658045,0.9900814835994396
resnet,17,bandpass,10,covariance,V2,auroc_HYP,0.8915374271266145,0.8808560408413052,0.010681386285309347,0.9880191386684427
resnet,17,bandpass,10,covariance,V2,ap_NORM,0.9086485024952592,0.896198565703714,0.012449936791545158,0.9862984016830024
resnet,17,bandpass,10,covariance,V2,ap_MI,0.7463392051587087,0.7294807920739179,0.016858413084790747,0.9774118618327398
resnet,17,bandpass,10,covariance,V2,ap_STTC,0.8025813723497355,0.793760546585198,0.008820825764537465,0.9890094312310022
resnet,17,bandpass,10,covariance,V2,ap_CD,0.8134023735586858,0.8007745620862337,0.012627811472452177,0.98447532010733
resnet,17,bandpass,10,covariance,V2,ap_HYP,0.632621019389418,0.6112333127466371,0.02138770664278089,0.9661919127119903
resnet,17,bandpass,10,covariance,V2,f1_NORM,0.8484848484848485,0.8257930317212688,0.022691816763579675,0.9732560730989198
resnet,17,bandpass,10,covariance,V2,f1_MI,0.6786885245901639,0.6577498033044846,0.020938721285679307,0.969148260906146
resnet,17,bandpass,10,covariance,V2,f1_STTC,0.7306967984934086,0.7219047619047619,0.00879203658864669,0.9879675994095464
resnet,17,bandpass,10,covariance,V2,f1_CD,0.7054871220604704,0.7051282051282052,0.0003589169322651964,0.9994912494898328
