kind,condition,lead_i,lead_j,covariance
bandpass,electrode,II,I,0.0034367696120173037
bandpass,electrode,II,II,0.006853265131280619
bandpass,electrode,II,III,0.003416495519263319
bandpass,electrode,II,aVR,-0.005145017371648965
bandpass,electrode,II,aVL,1.0137046376993149e-05
bandpass,electrode,II,aVF,0.005134880325271971
bandpass,electrode,II,V1,7.015759368334436e-06
bandpass,electrode,II,V2,-4.4653095410130435e-06
bandpass,electrode,II,V3,-3.792132778141684e-05
bandpass,electrode,II,V4,5.834067557922183e-06
bandpass,electrode,II,V5,-1.0251939423415774e-05
bandpass,electrode,II,V6,1.0841014098044814e-05
bandpass,electrode,III,I,-0.003408827726780653
bandpass,electrode,III,II,0.003416495519263319
bandpass,electrode,III,III,0.0068253232460439685
bandpass,electrode,III,aVR,-3.833896241332748e-06
bandpass,electrode,III,aVL,-0.005117075486412313
bandpass,electrode,III,aVF,0.005120909382653644
bandpass,electrode,III,V1,3.0186137244951432e-05
bandpass,electrode,III,V2,-2.1922156302478792e-06
bandpass,electrode,III,V3,-1.912606749047132e-05
bandpass,electrode,III,V4,1.3728796543649295e-05
bandpass,electrode,III,V5,2.184811124783362e-05
bandpass,electrode,III,V6,1.929891722613957e-05
bandpass,electrode,aVR,I,-0.005141183475407631
bandpass,electrode,aVR,II,-0.005145017371648965
bandpass,electrode,aVR,III,-3.833896241332748e-06
bandpass,electrode,aVR,aVR,0.005143100423528296
bandpass,electrode,aVR,aVL,-0.002568674789583149
bandpass,electrode,aVR,aVF,-0.002574425633945148
bandpass,electrode,aVR,V1,8.077309254141315e-06
bandpass,electrode,aVR,V2,3.3692017258890992e-06
bandpass,electrode,aVR,V3,2.8358294036181215e-05
bandpass,electrode,aVR,V4,1.03033071390248e-06
bandpass,electrode,aVR,V5,2.1175995047332602e-05
bandpass,electrode,aVR,V6,-1.191555484975053e-06
bandpass,electrode,aVL,I,0.005127212532789307
bandpass,electrode,aVL,II,1.0137046376993149e-05
bandpass,electrode,aVL,III,-0.005117075486412313
bandpass,electrode,aVL,aVR,-0.002568674789583149
bandpass,electrode,aVL,aVL,0.005122144009600807
bandpass,electrode,aVL,aVF,-0.0025534692200176587
bandpass,electrode,aVL,V1,-2.6678257560784208e-05
bandpass,electrode,aVL,V2,-4.043914025867207e-08
bandpass,electrode,aVL,V3,1.6540359976286552e-07
bandpass,electrode,aVL,V4,-1.0811762764688229e-05
bandpass,electrode,aVL,V5,-2.6974080959541513e-05
bandpass,electrode,aVL,V6,-1.387841017711715e-05
bandpass,electrode,aVF,I,1.3970942618325898e-05
bandpass,electrode,aVF,II,0.005134880325271971
bandpass,electrode,aVF,III,0.005120909382653644
bandpass,electrode,aVF,aVR,-0.002574425633945148
bandpass,electrode,aVF,aVL,-0.0025534692200176587
bandpass,electrode,aVF,aVF,0.0051278948539628085
bandpass,electrode,aVF,V1,1.8600948306642903e-05
bandpass,electrode,aVF,V2,-3.3287625856304453e-06
bandpass,electrode,aVF,V3,-2.852369763594409e-05
bandpass,electrode,aVF,V4,9.781432050785732e-06
bandpass,electrode,aVF,V5,5.7980859122089225e-06
bandpass,electrode,aVF,V6,1.5069965662092186e-05
bandpass,electrode,V1,I,-2.3170377876617014e-05
