architecture,snr_db,train_seed,combo_id,noise_seed,combo_set,metric,unit,M_EE,M_IE,M_EI,M_II,g_E,g_I,gamma
resnet,5,43,LA_V3_V6,20001,heldout,absolute macro-AUROC,fraction,0.9006672642882778,0.8976162774827259,0.903029088938672,0.9008681513456253,0.0030509868055519362,0.0021609375930466967,0.0008900492125052395
resnet,5,43,LA_V3_V6,20002,heldout,absolute macro-AUROC,fraction,0.9006041611238444,0.89818635125349,0.8992798432455367,0.8995504516356849,0.002417809870354448,-0.00027060839014825255,0.0026884182605027007
resnet,5,43,LA_V3_V6,20003,heldout,absolute macro-AUROC,fraction,0.8980260484114704,0.8963498554882949,0.9016361630986489,0.8987823632795291,0.0016761929231754458,0.0028537998191198177,-0.001177606895944372
resnet,5,43,LA_V3_V6,20004,heldout,absolute macro-AUROC,fraction,0.9000577198013495,0.8970938141072974,0.8996855110045562,0.8967941091013572,0.002963905694052138,0.0028914019031990312,7.250379085310676e-05
resnet,5,43,LA_V3_V6,20005,heldout,absolute macro-AUROC,fraction,0.9008209453271867,0.8966272917958061,0.8987103747327492,0.8971461755707745,0.00419365353138057,0.0015641991619746998,0.0026294543694058703
resnet,5,43,LA_V6,20001,heldout,absolute macro-AUROC,fraction,0.8993601719925917,0.8970534130856933,0.9022079630295913,0.901092224139548,0.002306758906898354,0.0011157388900432386,0.0011910200168551155
resnet,5,43,LA_V6,20002,heldout,absolute macro-AUROC,fraction,0.8982971075006138,0.8973228701678394,0.8987269513616785,0.8993473193858825,0.0009742373327743525,-0.0006203680242040654,0.001594605356978418
resnet,5,43,LA_V6,20003,heldout,absolute macro-AUROC,fraction,0.8968822443517077,0.8949950964429159,0.900694311512947,0.8976087559878094,0.001887147908791853,0.003085555525137562,-0.0011984076163457091
resnet,5,43,LA_V6,20004,heldout,absolute macro-AUROC,fraction,0.8976633992950369,0.895944710067106,0.9002894075344594,0.8969943816191362,0.0017186892279309474,0.0032950259153231576,-0.0015763366873922102
resnet,5,43,LA_V6,20005,heldout,absolute macro-AUROC,fraction,0.8991245831191786,0.8959204145435609,0.8980699796403261,0.8969803169816559,0.003204168575617783,0.0010896626586701652,0.0021145059169476177
resnet,5,43,LL,20001,heldout,absolute macro-AUROC,fraction,0.8948863374276455,0.8896297568960134,0.9005938359135983,0.8974827456920386,0.005256580531632027,0.0031110902215597536,0.0021454903100722733
resnet,5,43,LL,20002,heldout,absolute macro-AUROC,fraction,0.8959856273055667,0.888280202779516,0.8980148605943807,0.8990936880910777,0.007705424526050719,-0.0010788274966969658,0.008784252022747685
resnet,5,43,LL,20003,heldout,absolute macro-AUROC,fraction,0.8948174608665926,0.8874669202096689,0.9002241817609729,0.8973964238723621,0.007350540656923754,0.0028277578886107824,0.004522782768312972
resnet,5,43,LL,20004,heldout,absolute macro-AUROC,fraction,0.8935341257153533,0.8876720263607727,0.9005389243698165,0.8971825907640681,0.005862099354580597,0.003356333605748385,0.0025057657488322116
resnet,5,43,LL,20005,heldout,absolute macro-AUROC,fraction,0.8966187999514256,0.8893078271399422,0.8993909238914938,0.898306766959035,0.007310972811483407,0.0010841569324587796,0.0062268158790246275
resnet,5,43,LL_V1_V4,20001,heldout,absolute macro-AUROC,fraction,0.8960872142278266,0.8929565441708995,0.9006525887502775,0.8983087711332527,0.0031306700569270207,0.002343817617024846,0.0007868524399021748
resnet,5,43,LL_V1_V4,20002,heldout,absolute macro-AUROC,fraction,0.8967598027751263,0.8918285086472064,0.8993261373585038,0.9008483282675224,0.004931294127919927,-0.001522190909018617,0.006453485036938544
resnet,5,43,LL_V1_V4,20003,heldout,absolute macro-AUROC,fraction,0.8976380012604684,0.8921502650233869,0.900559156644533,0.8971997689100173,0.005487736237081542,0.0033593877345157175,0.0021283485025658244
resnet,5,43,LL_V1_V4,20004,heldout,absolute macro-AUROC,fraction,0.8967537784763806,0.8924903853384258,0.8997667889752071,0.8984030548500332,0.004263393137954763,0.0013637341251738766,0.0028996590127808863
resnet,5,43,LL_V1_V4,20005,heldout,absolute macro-AUROC,fraction,0.8989866031248093,0.8924256643232112,0.9000425461107178,0.8974539980685167,0.006560938801598026,0.0025885480422011,0.0039723907593969265
resnet,5,43,LL_V4,20001,heldout,absolute macro-AUROC,fraction,0.8967385459972685,0.8918141292076257,0.9010725500002529,0.8987224499384722,0.004924416789642838,0.0023501000617807133,0.002574316727862125
resnet,5,43,LL_V4,20002,heldout,absolute macro-AUROC,fraction,0.8966451657747048,0.8906626025885949,0.8992779803815241,0.900488330537754,0.0059825631861099016,-0.0012103501562299446,0.007192913342339846
resnet,5,43,LL_V4,20003,heldout,absolute macro-AUROC,fraction,0.8966979757747235,0.889430783790685,0.9020265789207859,0.8979505492903671,0.007267191984038579,0.004076029630418754,0.0031911623536198253
resnet,5,43,LL_V4,20004,heldout,absolute macro-AUROC,fraction,0.8960397509824485,0.889908795569446,0.9008105352665936,0.8985630580797832,0.006130955413002459,0.002247477186810398,0.003883478226192061
resnet,5,43,LL_V4,20005,heldout,absolute macro-AUROC,fraction,0.8985826391511876,0.8913818421689268,0.9000540523640002,0.8981076839686709,0.0072007969822608375,0.0019463683953292454,0.005254428586931592
resnet,5,43,RA,20001,heldout,absolute macro-AUROC,fraction,0.8951298056832682,0.8898620393500035,0.9010913936681069,0.8991304862660094,0.005267766333264645,0.0019609074020974226,0.0033068589311672225
resnet,5,43,RA,20002,heldout,absolute macro-AUROC,fraction,0.8949763216154414,0.8889428816403153,0.9004220233365835,0.900354873219233,0.006033439975126065,6.715011735047849e-05,0.005966289857775586
resnet,5,43,RA,20003,heldout,absolute macro-AUROC,fraction,0.893688709572755,0.8903146690773884,0.9010354029777504,0.897635279078315,0.0033740404953666037,0.0034001238994354477,-2.6083404068844018e-05
