architecture,snr_db,train_seed,combo_id,noise_seed,combo_set,metric,unit,M_EE,M_IE,M_EI,M_II,g_E,g_I,gamma
resnet,5,29,RA,20005,heldout,absolute macro-AUROC,fraction,0.8935513767707018,0.8877085433258769,0.8950869625970237,0.8946396603675456,0.005842833444824946,0.00044730222947808596,0.00539553121534686
resnet,5,29,RA_LA_V1_V6,20001,heldout,absolute macro-AUROC,fraction,0.8930595110946342,0.8896332857940742,0.8945735811646808,0.8941146884491026,0.0034262253005600263,0.00045889271557819633,0.00296733258498183
resnet,5,29,RA_LA_V1_V6,20002,heldout,absolute macro-AUROC,fraction,0.8925689651720434,0.8883713806596727,0.8939665975355858,0.8937048647757881,0.004197584512370733,0.00026173275979768373,0.00393585175257305
resnet,5,29,RA_LA_V1_V6,20003,heldout,absolute macro-AUROC,fraction,0.8931378267223277,0.8889158639332742,0.8962399632521763,0.8972785823593797,0.004221962789053513,-0.0010386191072034867,0.0052605818962569995
resnet,5,29,RA_LA_V1_V6,20004,heldout,absolute macro-AUROC,fraction,0.8929237877977624,0.891329796903717,0.8956503785245239,0.8959712324670693,0.0015939908940453273,-0.0003208539425454404,0.0019148448365907678
resnet,5,29,RA_LA_V1_V6,20005,heldout,absolute macro-AUROC,fraction,0.8950434159515168,0.8899831497004275,0.8946879526783809,0.894914786138887,0.0050602662510893515,-0.00022683346050611508,0.0052870997115954665
resnet,5,29,RA_V1,20001,heldout,absolute macro-AUROC,fraction,0.8909224887668736,0.8866895705498571,0.8939076407891537,0.893996701664191,0.004232918217016546,-8.906087503723903e-05,0.004321979092053785
resnet,5,29,RA_V1,20002,heldout,absolute macro-AUROC,fraction,0.8897706517145973,0.8865391250805196,0.894336283420244,0.8939654645383796,0.003231526634077775,0.0003708188818644098,0.002860707752213365
resnet,5,29,RA_V1,20003,heldout,absolute macro-AUROC,fraction,0.8933000405334068,0.8883588031666179,0.8951404124752044,0.8957367559658023,0.004941237366788975,-0.0005963434905978948,0.00553758085738687
resnet,5,29,RA_V1,20004,heldout,absolute macro-AUROC,fraction,0.8924045065378202,0.8900097801351267,0.8955201329250626,0.8958046672628523,0.002394726402693559,-0.0002845343377897436,0.0026792607404833024
resnet,5,29,RA_V1,20005,heldout,absolute macro-AUROC,fraction,0.893414055101472,0.8897720539549171,0.8955708080043614,0.8943950872721139,0.003642001146554885,0.001175720732247476,0.002466280414307409
resnet,5,29,RA_V2_V5,20001,heldout,absolute macro-AUROC,fraction,0.8932361136532233,0.8890595132988501,0.895637702088881,0.8926678604264543,0.004176600354373172,0.002969841662426753,0.001206758691946419
resnet,5,29,RA_V2_V5,20002,heldout,absolute macro-AUROC,fraction,0.8911957064757086,0.8878744045776079,0.8941871099405366,0.8938353655493417,0.003321301898100648,0.000351744391194897,0.002969557506905751
resnet,5,29,RA_V2_V5,20003,heldout,absolute macro-AUROC,fraction,0.8921560111417504,0.8880920096208417,0.8951301514044883,0.8947543207050763,0.004064001520908689,0.0003758306994119387,0.00368817082149675
resnet,5,29,RA_V2_V5,20004,heldout,absolute macro-AUROC,fraction,0.893054737873606,0.8903595651619032,0.8963589747403118,0.8973692163720492,0.0026951727117028312,-0.001010241631737463,0.003705414343440294
resnet,5,29,RA_V2_V5,20005,heldout,absolute macro-AUROC,fraction,0.8954364740656633,0.8914184772732074,0.8960764795027527,0.8957199350625509,0.004017996792455847,0.0003565444402018336,0.0036614523522540132
resnet,5,43,LA,20001,heldout,absolute macro-AUROC,fraction,0.8992204423689414,0.8952872043919724,0.9015075397005445,0.9007281641224159,0.003933237976968984,0.0007793755781286826,0.0031538623988403014
resnet,5,43,LA,20002,heldout,absolute macro-AUROC,fraction,0.8976029721106498,0.895676101179171,0.8992170833386016,0.9002075822253257,0.001926870931478808,-0.0009904988867240894,0.0029173698182028973
resnet,5,43,LA,20003,heldout,absolute macro-AUROC,fraction,0.8970048943498355,0.8936621314519593,0.9003001326025719,0.896967989396592,0.0033427628978762725,0.003332143205979965,1.0619691896307515e-05
resnet,5,43,LA,20004,heldout,absolute macro-AUROC,fraction,0.8971743340706331,0.8944888864493121,0.9004198637490575,0.8966792175722242,0.0026854476213209466,0.003740646176833229,-0.0010551985555122823
resnet,5,43,LA,20005,heldout,absolute macro-AUROC,fraction,0.8977338438895979,0.8942317981096574,0.8984920566092388,0.8967697112995466,0.0035020457799405103,0.0017223453096921748,0.0017797004702483354
