model,strategy,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,n_seeds,mean,std,ci95_low,ci95_high,n_expected,n_undefined
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_auroc,absolute,5,0.8894741165186735,0.0054326813428104,0.8827285516815925,0.8962196813557545,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_auroc,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_auroc,drop,5,0.0176774471298423,0.0046784327269216,0.0118684056448054,0.0234864886148791,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_auroc,retention,5,0.9805112472323976,0.0051658425544465,0.9740970065121524,0.9869254879526428,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_f1,absolute,5,0.6669089681706948,0.0098631651165658,0.6546622311371157,0.6791557052042738,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_f1,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_f1,drop,5,0.0490090592792224,0.0096314530036142,0.037050030834243,0.0609680877242017,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_f1,retention,5,0.9315556568859608,0.0133073130674214,0.915032445337317,0.9480788684346044,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_npv,absolute,5,0.9025048256125334,0.0059071765710051,0.8951700971332835,0.9098395540917832,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_npv,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_npv,drop,5,0.0168019451436992,0.0038196389000298,0.0120592370353934,0.0215446532520049,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_npv,retention,5,0.981717627579721,0.0041981833854505,0.9765048944121498,0.9869303607472922,5,0
