model,lhs,rhs,group_id,metric,outcome,level,seed,noise_seed,point,positive_seed_count,n_training_seeds,n_undefined,std,min,max,n_noise_seeds,positive_noise_count,negative_noise_count,zero_noise_count
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,17.0,20004.0,0.0005058862376497997,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,17.0,20005.0,0.0005239694576331111,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,29.0,20001.0,0.0013080199181316754,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,29.0,20002.0,0.0012467208357956894,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,29.0,20003.0,0.0012632824225378148,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,29.0,20004.0,0.0012000433878622818,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,29.0,20005.0,0.0012070598467903704,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,43.0,20001.0,0.001042092729998334,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,43.0,20002.0,0.0010836433459443517,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,43.0,20003.0,0.0011359276340079383,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,43.0,20004.0,0.0010564198387164048,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,43.0,20005.0,0.0011072919031667183,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,101.0,20001.0,0.0011028072974511582,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,101.0,20002.0,0.001128892498228562,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,101.0,20003.0,0.0012350387395116957,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,101.0,20004.0,0.001245808832777695,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,101.0,20005.0,0.0011188888407756004,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,202.0,20001.0,0.0018052848813573386,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,202.0,20002.0,0.0016734470902882714,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,202.0,20003.0,0.0016547812903769943,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,202.0,20004.0,0.001584878594972694,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,202.0,20005.0,0.0017055824207908854,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20001.0,0.0011583092068995881,5.0,5.0,0.0,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20002.0,0.0011249233910784362,5.0,5.0,0.0,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20003.0,0.001157601391663632,5.0,5.0,0.0,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20004.0,0.001118607378395775,5.0,5.0,0.0,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20005.0,0.001132558493831337,5.0,5.0,0.0,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,summary,,,0.0011383999723737538,,,0.0,1.852403852766939e-05,0.001118607378395775,0.0011583092068995881,5.0,5.0,0.0,0.0
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,-0.00019923125248788587,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20002.0,-0.00011871156443099551,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20003.0,-0.00013000388261330542,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20004.0,-0.00014063248281781515,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20005.0,-0.0001516031209239932,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,29.0,20001.0,-0.000729542376707637,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,29.0,20002.0,-0.0006710119541696313,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,29.0,20003.0,-0.0006732478268742792,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,29.0,20004.0,-0.0006516617501954869,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,29.0,20005.0,-0.0007280929441972894,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,43.0,20001.0,5.957147376278726e-06,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,43.0,20002.0,0.0001013674370462514,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,43.0,20003.0,9.101135721967246e-05,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,43.0,20004.0,0.00016677523499664115,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,43.0,20005.0,7.002863715133145e-05,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,101.0,20001.0,-0.0004853706050407247,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,101.0,20002.0,-0.0006296183036873515,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,101.0,20003.0,-0.000519632129903469,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,101.0,20004.0,-0.0007130600273799192,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,101.0,20005.0,-0.0005808710398460537,,,,,,,,,,
