model,seed,group_id,metric,strategy,value,rank
resnet,17,bandpass__combo_V1__covariance__s10,brier,clean_only,0.11077762544155119,4.0
resnet,17,bandpass__combo_V1__covariance__s10,ece,clean_only,0.07335448459469196,4.0
resnet,17,bandpass__combo_V1__covariance__s5,macro_auroc,clean_only,0.875790415299995,4.0
resnet,17,bandpass__combo_V1__covariance__s5,macro_ap,clean_only,0.7301209801278177,4.0
resnet,17,bandpass__combo_V1__covariance__s5,macro_f1,clean_only,0.6484020626062489,4.0
resnet,17,bandpass__combo_V1__covariance__s5,brier,clean_only,0.13488163053989405,4.0
resnet,17,bandpass__combo_V1__covariance__s5,ece,clean_only,0.11096525585933122,4.0
resnet,17,bandpass__combo_V1__covariance__s0,macro_auroc,clean_only,0.8222965604109429,4.0
resnet,17,bandpass__combo_V1__covariance__s0,macro_ap,clean_only,0.6512485992508906,4.0
resnet,17,bandpass__combo_V1__covariance__s0,macro_f1,clean_only,0.49722728753385736,4.0
resnet,17,bandpass__combo_V1__covariance__s0,brier,clean_only,0.20171238481998438,4.0
resnet,17,bandpass__combo_V1__covariance__s0,ece,clean_only,0.19222171275247232,4.0
resnet,17,bandpass__combo_V2__independent_rms__s20,macro_auroc,clean_only,0.9059038184805971,4.0
resnet,17,bandpass__combo_V2__independent_rms__s20,macro_ap,clean_only,0.7793829686482723,4.0
resnet,17,bandpass__combo_V2__independent_rms__s20,macro_f1,clean_only,0.7099015436453927,4.0
resnet,17,bandpass__combo_V2__independent_rms__s20,brier,clean_only,0.10027287900447839,4.0
resnet,17,bandpass__combo_V2__independent_rms__s20,ece,clean_only,0.0564505356491523,3.0
resnet,17,bandpass__combo_V2__independent_rms__s15,macro_auroc,clean_only,0.903780316256739,4.0
resnet,17,bandpass__combo_V2__independent_rms__s15,macro_ap,clean_only,0.7758543700763452,4.0
resnet,17,bandpass__combo_V2__independent_rms__s15,macro_f1,clean_only,0.706591220874324,4.0
resnet,17,bandpass__combo_V2__independent_rms__s15,brier,clean_only,0.10252906978130334,4.0
resnet,17,bandpass__combo_V2__independent_rms__s15,ece,clean_only,0.05952181734308677,4.0
resnet,17,bandpass__combo_V2__independent_rms__s10,macro_auroc,clean_only,0.8975108833552943,4.0
resnet,17,bandpass__combo_V2__independent_rms__s10,macro_ap,clean_only,0.7646432700309092,4.0
resnet,17,bandpass__combo_V2__independent_rms__s10,macro_f1,clean_only,0.6928027265271097,4.0
resnet,17,bandpass__combo_V2__independent_rms__s10,brier,clean_only,0.10865278244018546,4.0
resnet,17,bandpass__combo_V2__independent_rms__s10,ece,clean_only,0.06847558891828805,4.0
resnet,17,bandpass__combo_V2__independent_rms__s5,macro_auroc,clean_only,0.8806235662120218,4.0
resnet,17,bandpass__combo_V2__independent_rms__s5,macro_ap,clean_only,0.7374508334467846,4.0
resnet,17,bandpass__combo_V2__independent_rms__s5,macro_f1,clean_only,0.660205058430263,4.0
resnet,17,bandpass__combo_V2__independent_rms__s5,brier,clean_only,0.12509890049695968,4.0
resnet,17,bandpass__combo_V2__independent_rms__s5,ece,clean_only,0.0940623482486597,4.0
resnet,17,bandpass__combo_V2__independent_rms__s0,macro_auroc,clean_only,0.831659006351187,4.0
resnet,17,bandpass__combo_V2__independent_rms__s0,macro_ap,clean_only,0.6661910760435437,4.0
resnet,17,bandpass__combo_V2__independent_rms__s0,macro_f1,clean_only,0.5486705039354265,4.0
resnet,17,bandpass__combo_V2__independent_rms__s0,brier,clean_only,0.17215719223022458,4.0
resnet,17,bandpass__combo_V2__independent_rms__s0,ece,clean_only,0.14906691677609427,4.0
resnet,17,bandpass__combo_V2__electrode__s20,macro_auroc,clean_only,0.9058487992062838,4.0
resnet,17,bandpass__combo_V2__electrode__s20,macro_ap,clean_only,0.7794466300961224,4.0
resnet,17,bandpass__combo_V2__electrode__s20,macro_f1,clean_only,0.7097370552088845,4.0
resnet,17,bandpass__combo_V2__electrode__s20,brier,clean_only,0.10022830516099926,4.0
resnet,17,bandpass__combo_V2__electrode__s20,ece,clean_only,0.056273767934029675,2.0
resnet,17,bandpass__combo_V2__electrode__s15,macro_auroc,clean_only,0.9035891226422981,4.0
resnet,17,bandpass__combo_V2__electrode__s15,macro_ap,clean_only,0.7753623261463716,4.0
resnet,17,bandpass__combo_V2__electrode__s15,macro_f1,clean_only,0.7047767285458466,4.0
resnet,17,bandpass__combo_V2__electrode__s15,brier,clean_only,0.1024829968810081,4.0
resnet,17,bandpass__combo_V2__electrode__s15,ece,clean_only,0.05975601019702011,4.0
resnet,17,bandpass__combo_V2__electrode__s10,macro_auroc,clean_only,0.8972799117389234,4.0
resnet,17,bandpass__combo_V2__electrode__s10,macro_ap,clean_only,0.7642480961096251,4.0
resnet,17,bandpass__combo_V2__electrode__s10,macro_f1,clean_only,0.6944602584125075,4.0
resnet,17,bandpass__combo_V2__electrode__s10,brier,clean_only,0.1085480406880378,4.0
resnet,17,bandpass__combo_V2__electrode__s10,ece,clean_only,0.06777602600446439,4.0
resnet,17,bandpass__combo_V2__electrode__s5,macro_auroc,clean_only,0.8804342434148721,4.0
resnet,17,bandpass__combo_V2__electrode__s5,macro_ap,clean_only,0.7359080704219036,4.0
resnet,17,bandpass__combo_V2__electrode__s5,macro_f1,clean_only,0.6578233757644648,4.0
resnet,17,bandpass__combo_V2__electrode__s5,brier,clean_only,0.1252685725688934,4.0
resnet,17,bandpass__combo_V2__electrode__s5,ece,clean_only,0.09314803575955331,4.0
resnet,17,bandpass__combo_V2__electrode__s0,macro_auroc,clean_only,0.8297008282680192,4.0
resnet,17,bandpass__combo_V2__electrode__s0,macro_ap,clean_only,0.6602709241575562,4.0
resnet,17,bandpass__combo_V2__electrode__s0,macro_f1,clean_only,0.5455081660829215,4.0
resnet,17,bandpass__combo_V2__electrode__s0,brier,clean_only,0.17310025095939632,4.0
resnet,17,bandpass__combo_V2__electrode__s0,ece,clean_only,0.14877329002169887,4.0
resnet,17,bandpass__combo_V2__covariance__s20,macro_auroc,clean_only,0.9057615667019234,4.0
resnet,17,bandpass__combo_V2__covariance__s20,macro_ap,clean_only,0.779246337190716,4.0
resnet,17,bandpass__combo_V2__covariance__s20,macro_f1,clean_only,0.7114017743289733,4.0
resnet,17,bandpass__combo_V2__covariance__s20,brier,clean_only,0.1003108292818069,4.0
resnet,17,bandpass__combo_V2__covariance__s20,ece,clean_only,0.05646356800256898,3.0
resnet,17,bandpass__combo_V2__covariance__s15,macro_auroc,clean_only,0.9035453669448165,4.0
resnet,17,bandpass__combo_V2__covariance__s15,macro_ap,clean_only,0.77559604091772,4.0
