condition,mode,snr_db,noise_seed,metric,n_rows,n_records,n_patients,n_noise_bases,n_finite,n_null,n_positive_inf,n_negative_inf,n_anomalous,unit,min,p05,p25,median,p75,p95,max,mean,sd,class_name,true_label,stratum
E,,5,404,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,7.156619248491984e-16,8.438281683698349e-16,9.584187449233378e-16,1.0910838992223838e-15,1.2395378013676032e-15,1.5432256461668105e-15,2.005464358358936e-15,1.120939901711467e-15,2.1446981879729936e-16,NORM,0,negative
E,,5,505,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,4.999971732408707,4.999986001300128,4.999992570062906,4.9999952124024,4.999997103752563,4.999998867733263,4.999999678158299,4.999994269230234,3.995293409115068e-06,NORM,0,negative
E,,5,505,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8155564987244493e-05,-1.3890057759106789e-05,-7.320366888296253e-06,-4.688292965005174e-06,-2.781787522862419e-06,-1.0169699353760958e-06,-2.070217299854496e-07,-5.61889463258778e-06,3.995402106739038e-06,NORM,0,negative
E,,5,505,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,7.095739718770753e-16,8.355893010684565e-16,9.63951046597352e-16,1.0794151533015497e-15,1.2438191134695676e-15,1.5340149822153488e-15,2.0352312620960148e-15,1.1194973721394985e-15,2.1397808531348083e-16,NORM,0,negative
E,,5,8128,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,4.999971734765057,4.999986001787722,4.999992566956491,4.999995209964841,4.999997104372401,4.9999988667857815,4.999999668911056,4.999994269081983,3.995558903301953e-06,NORM,0,negative
E,,5,8128,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8155564987726658e-05,-1.3890057758769273e-05,-7.320366888778418e-06,-4.688292965005174e-06,-2.7817875231035006e-06,-1.0169699353760958e-06,-2.070217299854496e-07,-5.618894632597867e-06,3.995402106735034e-06,NORM,0,negative
E,,5,8128,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,6.750835955539508e-16,8.412402480257149e-16,9.613160554934802e-16,1.081669442014809e-15,1.2398831688107371e-15,1.5353452252670589e-15,1.994594718199696e-15,1.1174398332912765e-15,2.1104168522977456e-16,NORM,0,negative
E,,10,101,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,9.999971912320364,9.999986167687297,9.999992735235516,9.99999537786115,9.999997276062807,9.999999041538521,9.999999856091291,9.999994439616136,3.995615898474745e-06,NORM,0,negative
E,,10,101,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8155564983869324e-05,-1.389005775423692e-05,-7.320366882510279e-06,-4.688292963558681e-06,-2.7817875182818604e-06,-1.0169699312294867e-06,-2.0702172902112213e-07,-5.618894629271538e-06,3.995402106305507e-06,NORM,0,negative
E,,10,101,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,7.880766881569696e-16,1.0877906084707341e-15,1.4235640804514724e-15,1.7698903722432682e-15,2.254261817188095e-15,3.1480135750521123e-15,4.437124563684778e-15,1.883525725851448e-15,6.326624764756394e-16,NORM,0,negative
E,,10,202,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,9.999971907459738,9.999986173533888,9.99999274472809,9.999995375038262,9.999997276228719,9.999999042469351,9.999999839775246,9.999994439604858,3.9957658520637555e-06,NORM,0,negative
E,,10,202,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.815556498435149e-05,-1.389005775365832e-05,-7.320366882028114e-06,-4.688292964040846e-06,-2.7817875185229425e-06,-1.0169699305544573e-06,-2.0702172902112213e-07,-5.618894629288485e-06,3.995402106291153e-06,NORM,0,negative
E,,10,202,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,7.898890215638966e-16,1.0608710144432745e-15,1.3941444370017527e-15,1.777402216246927e-15,2.237008160922225e-15,3.158157280425868e-15,4.574487933548124e-15,1.880284156766874e-15,6.336043430593388e-16,NORM,0,negative
E,,10,303,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,9.999971929842687,9.999986169972434,9.999992741169137,9.999995373038107,9.999997275272925,9.999999036675918,9.999999845574193,9.999994439309095,3.99489302360162e-06,NORM,0,negative
E,,10,303,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8155564983869324e-05,-1.3890057754429786e-05,-7.3203668822691966e-06,-4.688292964040846e-06,-2.7817875187640246e-06,-1.016969931036621e-06,-2.0702172902112213e-07,-5.618894629283643e-06,3.995402106269926e-06,NORM,0,negative
E,,10,303,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,7.799057626525441e-16,1.0740927965879833e-15,1.4107466537766942e-15,1.7697365339930209e-15,2.2350447772778225e-15,3.1101271218420676e-15,4.316964001297717e-15,1.8819959018185573e-15,6.277226395374577e-16,NORM,0,negative
E,,10,404,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,9.999971895691983,9.999986166061147,9.999992738835036,9.999995375174757,9.99999727333201,9.999999035669918,9.999999859790128,9.999994439240181,3.995325179495048e-06,NORM,0,negative
E,,10,404,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8155564983869324e-05,-1.389005775394762e-05,-7.320366881787032e-06,-4.688292964040846e-06,-2.7817875185229425e-06,-1.0169699315670016e-06,-2.0702172902112213e-07,-5.6188946292432945e-06,3.995402106294504e-06,NORM,0,negative
