model,strategy,seed,group_id,class_name,bin_id,count,probability_sum,target_sum
resnet,electrode,17,clean,MI,13,18,16.246789932250977,13.0
resnet,electrode,17,clean,MI,14,38,36.71241635084152,30.0
resnet,electrode,17,clean,STTC,0,673,6.811444874303561,40.0
resnet,electrode,17,clean,STTC,1,70,7.020435743033886,25.0
resnet,electrode,17,clean,STTC,2,34,5.49055702984333,10.0
resnet,electrode,17,clean,STTC,3,21,4.767477631568909,12.0
resnet,electrode,17,clean,STTC,4,37,11.131875663995743,22.0
resnet,electrode,17,clean,STTC,5,15,5.585799664258957,10.0
resnet,electrode,17,clean,STTC,6,19,8.171707063913345,14.0
resnet,electrode,17,clean,STTC,7,16,8.005250334739685,14.0
resnet,electrode,17,clean,STTC,8,18,10.143430471420288,13.0
resnet,electrode,17,clean,STTC,9,14,8.830820798873901,11.0
resnet,electrode,17,clean,STTC,10,19,13.19785189628601,15.0
resnet,electrode,17,clean,STTC,11,16,12.31910526752472,14.0
resnet,electrode,17,clean,STTC,12,18,15.015240848064423,16.0
resnet,electrode,17,clean,STTC,13,18,16.237980723381042,17.0
resnet,electrode,17,clean,STTC,14,12,11.685606241226196,11.0
resnet,electrode,17,clean,CD,0,762,12.50182548223529,63.0
resnet,electrode,17,clean,CD,1,69,6.325568847358227,21.0
resnet,electrode,17,clean,CD,2,32,5.297686234116554,14.0
resnet,electrode,17,clean,CD,3,16,3.7710876017808914,7.0
resnet,electrode,17,clean,CD,4,18,5.22558206319809,12.0
resnet,electrode,17,clean,CD,5,11,3.974340111017227,7.0
resnet,electrode,17,clean,CD,6,10,4.235980451107025,5.0
resnet,electrode,17,clean,CD,7,5,2.5268199741840363,2.0
resnet,electrode,17,clean,CD,8,4,2.2747730016708374,3.0
resnet,electrode,17,clean,CD,9,6,3.8311647176742554,5.0
resnet,electrode,17,clean,CD,10,8,5.563582897186279,7.0
resnet,electrode,17,clean,CD,11,8,6.1561115980148315,8.0
resnet,electrode,17,clean,CD,12,14,11.59920358657837,14.0
resnet,electrode,17,clean,CD,13,12,10.79630720615387,12.0
resnet,electrode,17,clean,CD,14,25,24.32092970609665,25.0
resnet,electrode,17,clean,HYP,0,765,7.184768460378109,45.0
resnet,electrode,17,clean,HYP,1,70,6.689003117382526,6.0
resnet,electrode,17,clean,HYP,2,29,4.877276256680489,8.0
resnet,electrode,17,clean,HYP,3,27,6.182889625430107,7.0
resnet,electrode,17,clean,HYP,4,16,4.728982120752335,9.0
resnet,electrode,17,clean,HYP,5,12,4.415976047515869,6.0
resnet,electrode,17,clean,HYP,6,12,5.136814922094345,3.0
resnet,electrode,17,clean,HYP,7,8,3.9657740592956543,4.0
resnet,electrode,17,clean,HYP,8,6,3.459562122821808,5.0
resnet,electrode,17,clean,HYP,9,8,5.1118345856666565,4.0
resnet,electrode,17,clean,HYP,10,4,2.8036866784095764,3.0
resnet,electrode,17,clean,HYP,11,8,6.151850461959839,4.0
resnet,electrode,17,clean,HYP,12,5,4.146269857883453,5.0
resnet,electrode,17,clean,HYP,13,8,7.199662923812866,7.0
resnet,electrode,17,clean,HYP,14,22,21.26730877161026,20.0
resnet,electrode,17,primary_joint,NORM,0,313,6.467909290310672,1.0
resnet,electrode,17,primary_joint,NORM,1,81,7.775849521160126,0.0
resnet,electrode,17,primary_joint,NORM,2,67,10.860378339886665,3.0
resnet,electrode,17,primary_joint,NORM,3,62,14.548639431595802,5.0
resnet,electrode,17,primary_joint,NORM,4,40,12.112488687038422,7.0
resnet,electrode,17,primary_joint,NORM,5,37,13.444097250699997,7.0
resnet,electrode,17,primary_joint,NORM,6,54,23.340321362018585,13.0
resnet,electrode,17,primary_joint,NORM,7,57,28.67788490653038,14.0
resnet,electrode,17,primary_joint,NORM,8,41,23.30562722682953,11.0
resnet,electrode,17,primary_joint,NORM,9,52,33.02487516403198,20.0
resnet,electrode,17,primary_joint,NORM,10,80,56.13317036628723,20.0
resnet,electrode,17,primary_joint,NORM,11,83,64.05080306529999,46.0
resnet,electrode,17,primary_joint,NORM,12,90,75.04718321561813,31.0
resnet,electrode,17,primary_joint,NORM,13,132,119.81853359937668,87.0
resnet,electrode,17,primary_joint,NORM,14,811,796.1618953347206,677.0
resnet,electrode,17,primary_joint,MI,0,1104,18.20102056543692,81.0
resnet,electrode,17,primary_joint,MI,1,214,20.72642070800066,55.0
resnet,electrode,17,primary_joint,MI,2,129,21.074255257844925,32.0
resnet,electrode,17,primary_joint,MI,3,74,17.327103063464165,27.0
