model,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,lhs,rhs,n_seeds,point,sd,ci95_low,ci95_high,n_expected,n_undefined,positive_seed_count,negative_seed_count,zero_seed_count,dz,t_stat,p_raw,patient_ci95_low,patient_ci95_high
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,electrode,clean_only,1,0.024736665360650112,,,,1,0,1,0,0,,,,0.009626101513799284,0.040495800238886014
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,mixed,clean_only,1,0.03107511845694333,,,,1,0,1,0,0,,,,0.018641209996685115,0.04392693257883132
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,clean_only,independent_rms,1,-0.02783424650862376,,,,1,0,0,1,0,,,,-0.040874570892026355,-0.015604214493301887
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,electrode,independent_rms,1,-0.0030975811479736493,,,,1,0,0,1,0,,,,-0.014522253626576267,0.009443514594749241
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,mixed,independent_rms,1,0.003240871948319568,,,,1,0,1,0,0,,,,-0.007502623519538168,0.01396782430370264
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,mixed,electrode,1,0.006338453096293217,,,,1,0,1,0,0,,,,-0.007657216578544854,0.020948828760261863
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,independent_rms,clean_only,1,0.007373099333735644,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,electrode,clean_only,1,0.027114667676126136,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,mixed,clean_only,1,0.008618406974945536,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,clean_only,independent_rms,1,-0.007373099333735644,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,electrode,independent_rms,1,0.019741568342390492,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,mixed,independent_rms,1,0.0012453076412098918,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,mixed,electrode,1,-0.0184962607011806,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,independent_rms,clean_only,1,0.013025480140114398,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,electrode,clean_only,1,-0.0070167141396315635,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,mixed,clean_only,1,0.00748499518853496,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,clean_only,independent_rms,1,-0.013025480140114398,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,electrode,independent_rms,1,-0.020042194279745962,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,mixed,independent_rms,1,-0.0055404849515794385,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,mixed,electrode,1,0.014501709328166523,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,independent_rms,clean_only,1,-0.020398579473850043,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,electrode,clean_only,1,-0.020097953536494573,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,mixed,clean_only,1,-0.016103402163480496,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,clean_only,independent_rms,1,0.020398579473850043,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,electrode,independent_rms,1,0.00030062593735546983,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,mixed,independent_rms,1,0.004295177310369547,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,mixed,electrode,1,0.003994551373014077,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,independent_rms,clean_only,1,0.027196906094541395,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,electrode,clean_only,1,0.03199700827953089,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,mixed,clean_only,1,0.022153729035246594,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,clean_only,independent_rms,1,-0.027196906094541395,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,electrode,independent_rms,1,0.0048001021849894965,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,mixed,independent_rms,1,-0.005043177059294801,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,mixed,electrode,1,-0.009843279244284298,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,independent_rms,clean_only,1,0.004504809468018123,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,electrode,clean_only,1,0.011693528642487405,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,mixed,clean_only,1,0.006997041874823529,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,clean_only,independent_rms,1,-0.004504809468018123,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,electrode,independent_rms,1,0.0071887191744692824,,,,1,0,1,0,0,,,,,
