model,seed,group_id,metric,strategy,value,rank
resnet,17,bandpass__combo_V1__covariance__s0,macro_ap,clean_only,0.585863461075998,4.0
resnet,17,bandpass__combo_V1__covariance__s0,macro_f1,clean_only,0.4989756438762989,4.0
resnet,17,bandpass__combo_V1__covariance__s0,brier,clean_only,0.161763995885849,4.0
resnet,17,bandpass__combo_V1__covariance__s0,ece,clean_only,0.1182465737372636,4.0
resnet,17,bandpass__combo_V2__independent_rms__s10,macro_auroc,clean_only,0.8686198270971783,4.0
resnet,17,bandpass__combo_V2__independent_rms__s10,macro_ap,clean_only,0.708903097283798,4.0
resnet,17,bandpass__combo_V2__independent_rms__s10,macro_f1,clean_only,0.6603393588928744,3.0
resnet,17,bandpass__combo_V2__independent_rms__s10,brier,clean_only,0.1181929931044578,2.0
resnet,17,bandpass__combo_V2__independent_rms__s10,ece,clean_only,0.07671272245422,2.0
resnet,17,bandpass__combo_V2__independent_rms__s5,macro_auroc,clean_only,0.8586231077481031,4.0
resnet,17,bandpass__combo_V2__independent_rms__s5,macro_ap,clean_only,0.6895069693014892,4.0
resnet,17,bandpass__combo_V2__independent_rms__s5,macro_f1,clean_only,0.6360635206586566,4.0
resnet,17,bandpass__combo_V2__independent_rms__s5,brier,clean_only,0.1230027824640274,2.0
resnet,17,bandpass__combo_V2__independent_rms__s5,ece,clean_only,0.0717568719826638,2.0
resnet,17,bandpass__combo_V2__independent_rms__s0,macro_auroc,clean_only,0.8115956200194898,4.0
resnet,17,bandpass__combo_V2__independent_rms__s0,macro_ap,clean_only,0.5999080673154762,4.0
resnet,17,bandpass__combo_V2__independent_rms__s0,macro_f1,clean_only,0.5604550395116483,4.0
resnet,17,bandpass__combo_V2__independent_rms__s0,brier,clean_only,0.1427358835935592,3.0
resnet,17,bandpass__combo_V2__independent_rms__s0,ece,clean_only,0.0782551939215511,1.0
resnet,17,bandpass__combo_V2__electrode__s10,macro_auroc,clean_only,0.870571973578747,3.0
resnet,17,bandpass__combo_V2__electrode__s10,macro_ap,clean_only,0.7100413290234183,4.0
resnet,17,bandpass__combo_V2__electrode__s10,macro_f1,clean_only,0.6586649758640287,2.0
resnet,17,bandpass__combo_V2__electrode__s10,brier,clean_only,0.1170653775334358,2.0
resnet,17,bandpass__combo_V2__electrode__s10,ece,clean_only,0.0738190330408513,2.0
resnet,17,bandpass__combo_V2__electrode__s5,macro_auroc,clean_only,0.8615999658756432,3.0
resnet,17,bandpass__combo_V2__electrode__s5,macro_ap,clean_only,0.6902636219856559,4.0
resnet,17,bandpass__combo_V2__electrode__s5,macro_f1,clean_only,0.6387175945515936,3.0
resnet,17,bandpass__combo_V2__electrode__s5,brier,clean_only,0.1219515651464462,2.0
resnet,17,bandpass__combo_V2__electrode__s5,ece,clean_only,0.0758714482143521,2.0
resnet,17,bandpass__combo_V2__electrode__s0,macro_auroc,clean_only,0.809585619649382,4.0
resnet,17,bandpass__combo_V2__electrode__s0,macro_ap,clean_only,0.5939353572145656,4.0
resnet,17,bandpass__combo_V2__electrode__s0,macro_f1,clean_only,0.5697477585470827,3.0
resnet,17,bandpass__combo_V2__electrode__s0,brier,clean_only,0.1433128714561462,3.0
resnet,17,bandpass__combo_V2__electrode__s0,ece,clean_only,0.0793734250582754,1.0
resnet,17,bandpass__combo_V2__covariance__s10,macro_auroc,clean_only,0.8684617341254975,4.0
resnet,17,bandpass__combo_V2__covariance__s10,macro_ap,clean_only,0.7067021052832827,4.0
resnet,17,bandpass__combo_V2__covariance__s10,macro_f1,clean_only,0.6601048327386415,3.0
resnet,17,bandpass__combo_V2__covariance__s10,brier,clean_only,0.1181015744805336,2.0
resnet,17,bandpass__combo_V2__covariance__s10,ece,clean_only,0.0761405857879668,2.0
resnet,17,bandpass__combo_V2__covariance__s5,macro_auroc,clean_only,0.8599586370931676,4.0
resnet,17,bandpass__combo_V2__covariance__s5,macro_ap,clean_only,0.6856501648907062,4.0
resnet,17,bandpass__combo_V2__covariance__s5,macro_f1,clean_only,0.6532478107303673,1.0
resnet,17,bandpass__combo_V2__covariance__s5,brier,clean_only,0.1225602328777313,2.0
resnet,17,bandpass__combo_V2__covariance__s5,ece,clean_only,0.0747975941102951,2.0
resnet,17,bandpass__combo_V2__covariance__s0,macro_auroc,clean_only,0.8109199293836122,4.0
resnet,17,bandpass__combo_V2__covariance__s0,macro_ap,clean_only,0.599589012447104,4.0
resnet,17,bandpass__combo_V2__covariance__s0,macro_f1,clean_only,0.5640162616590675,4.0
resnet,17,bandpass__combo_V2__covariance__s0,brier,clean_only,0.1420367360115051,3.0
resnet,17,bandpass__combo_V2__covariance__s0,ece,clean_only,0.0768391863681375,1.0
resnet,17,bandpass__combo_V3__independent_rms__s10,macro_auroc,clean_only,0.8689866359320938,4.0
resnet,17,bandpass__combo_V3__independent_rms__s10,macro_ap,clean_only,0.7081878049257865,4.0
resnet,17,bandpass__combo_V3__independent_rms__s10,macro_f1,clean_only,0.6630850576194638,2.0
resnet,17,bandpass__combo_V3__independent_rms__s10,brier,clean_only,0.1172643080353736,2.0
resnet,17,bandpass__combo_V3__independent_rms__s10,ece,clean_only,0.0752542688455432,2.0
resnet,17,bandpass__combo_V3__independent_rms__s5,macro_auroc,clean_only,0.8527596844329286,4.0
