noise_seed,snr,lead,frequency_hz,electrode_psd,marginal_shift_psd
8128,20,III,13.28125,1.7186250083873983e-05,1.732358633258464e-05
8128,20,III,13.671875,1.741688652353419e-05,1.734164091455085e-05
8128,20,III,14.0625,1.711959594236574e-05,1.721290581408742e-05
8128,20,III,14.453125,1.7493965512684587e-05,1.73541113163129e-05
8128,20,III,14.84375,1.7630489681125613e-05,1.7513930448517055e-05
8128,20,III,15.234375,1.7431814078881637e-05,1.7713614291526576e-05
8128,20,III,15.625,1.7520695673132763e-05,1.7612393984356604e-05
8128,20,III,16.015625,1.7732723764207226e-05,1.755474648278213e-05
8128,20,III,16.40625,1.7708031178930376e-05,1.762769433636946e-05
8128,20,III,16.796875,1.7162448226129494e-05,1.738896985285489e-05
8128,20,III,17.1875,1.7110701983912714e-05,1.7291805743117132e-05
8128,20,III,17.578125,1.761200023091296e-05,1.741202029425461e-05
8128,20,III,17.96875,1.7551217702267558e-05,1.7405337117597733e-05
8128,20,III,18.359375,1.7472706058079395e-05,1.73341549452188e-05
8128,20,III,18.75,1.7950764988576316e-05,1.7878250703973827e-05
8128,20,III,19.140625,1.7632224025372922e-05,1.7313459683497262e-05
8128,20,III,19.53125,1.702724597605663e-05,1.694039150946285e-05
8128,20,III,19.921875,1.733240747695506e-05,1.694227616821291e-05
8128,20,III,20.3125,1.7689180693383294e-05,1.744897844991537e-05
8128,20,III,20.703125,1.7319342345025505e-05,1.7338866835977634e-05
8128,20,III,21.09375,1.7577756099081285e-05,1.743569108415292e-05
8128,20,III,21.484375,1.754091549617543e-05,1.729308626543534e-05
8128,20,III,21.875,1.744054738459984e-05,1.7638656262990246e-05
8128,20,III,22.265625,1.7634446204546108e-05,1.756246687093816e-05
8128,20,III,22.65625,1.7777681612009354e-05,1.7526005710382547e-05
8128,20,III,23.046875,1.754187323847497e-05,1.7354375445929568e-05
8128,20,III,23.4375,1.7627002421430026e-05,1.7647442950686613e-05
8128,20,III,23.828125,1.789628498820206e-05,1.7829639171319857e-05
8128,20,III,24.21875,1.8016290202355875e-05,1.7746027796821884e-05
8128,20,III,24.609375,1.71799358771076e-05,1.7258460575655698e-05
8128,20,III,25.0,1.7180089232210906e-05,1.722005171698323e-05
8128,20,III,25.390625,1.7699933669322613e-05,1.7597671148413437e-05
8128,20,III,25.78125,1.762531873786787e-05,1.758027548288967e-05
8128,20,III,26.171875,1.748546713071895e-05,1.7567423461725263e-05
8128,20,III,26.5625,1.755940018715705e-05,1.7638913078677205e-05
8128,20,III,26.953125,1.768065474766592e-05,1.7644465161171536e-05
8128,20,III,27.34375,1.7177824050904863e-05,1.7294676650469594e-05
8128,20,III,27.734375,1.689609829619879e-05,1.7327001680304955e-05
8128,20,III,28.125,1.7435812259460896e-05,1.732257585663001e-05
8128,20,III,28.515625,1.740022932275402e-05,1.7546828257767128e-05
8128,20,III,28.90625,1.7414540093941646e-05,1.7770745753821968e-05
8128,20,III,29.296875,1.7737777992597113e-05,1.7824493552135807e-05
8128,20,III,29.6875,1.7254537524639157e-05,1.760195053910589e-05
8128,20,III,30.078125,1.7379746925395734e-05,1.7613962585295346e-05
8128,20,III,30.46875,1.7397695613933635e-05,1.7390971877787264e-05
8128,20,III,30.859375,1.731011449542387e-05,1.752269294131948e-05
8128,20,III,31.25,1.7560079507316988e-05,1.7614481111248047e-05
8128,20,III,31.640625,1.744702120199377e-05,1.7475201742868086e-05
8128,20,III,32.03125,1.723674795801958e-05,1.7347262579440188e-05
8128,20,III,32.421875,1.7459430705886795e-05,1.733283194502839e-05
8128,20,III,32.8125,1.7657422592777273e-05,1.747731490317342e-05
8128,20,III,33.203125,1.706872843786592e-05,1.698626618931433e-05
8128,20,III,33.59375,1.699453990149393e-05,1.686855356870496e-05
8128,20,III,33.984375,1.7160668277172527e-05,1.7184535563803877e-05
8128,20,III,34.375,1.7105946211470338e-05,1.718582839754017e-05
8128,20,III,34.765625,1.708554728208907e-05,1.72434109953181e-05
8128,20,III,35.15625,1.7650836831487896e-05,1.743985803854805e-05
8128,20,III,35.546875,1.749577250323702e-05,1.7716594190682742e-05
8128,20,III,35.9375,1.744284502019913e-05,1.7599140089878322e-05
8128,20,III,36.328125,1.756781590702684e-05,1.7338406973663068e-05
8128,20,III,36.71875,1.7456501835060344e-05,1.730921991460493e-05
8128,20,III,37.109375,1.7802428318075147e-05,1.7777329893247847e-05
8128,20,III,37.5,1.7756914226336644e-05,1.7826162452786356e-05
8128,20,III,37.890625,1.747268964369549e-05,1.7435256054397813e-05
8128,20,III,38.28125,1.7286612631132866e-05,1.7178609749928324e-05
8128,20,III,38.671875,1.728617393872247e-05,1.7774756116477453e-05
8128,20,III,39.0625,1.7022530920666975e-05,1.7747967302017586e-05
8128,20,III,39.453125,1.724631921390832e-05,1.7492574269453393e-05
8128,20,III,39.84375,1.4294749073028299e-05,1.4371693947706158e-05
8128,20,III,40.234375,3.803011505969484e-06,3.778600034718639e-06
8128,20,III,40.625,5.366416202178859e-08,5.3461651535796214e-08
8128,20,III,41.015625,1.9410056879870396e-09,1.943205376935474e-09
8128,20,III,41.40625,2.93721465270448e-10,2.9528495637175413e-10
8128,20,III,41.796875,7.63722335403429e-11,7.697760652188452e-11
8128,20,III,42.1875,2.666161485934864e-11,2.6908883795169555e-11
8128,20,III,42.578125,1.1223209080364355e-11,1.1332192934719785e-11
8128,20,III,42.96875,5.380226248224946e-12,5.4313912641012996e-12
8128,20,III,43.359375,2.8385024497130114e-12,2.863575284270534e-12
8128,20,III,43.75,1.6119924458903626e-12,1.6246011899133288e-12
8128,20,III,44.140625,9.70611626901358e-13,9.769699226377327e-13
8128,20,III,44.53125,6.129978112176943e-13,6.160944228809021e-13
8128,20,III,44.921875,4.028724865106258e-13,4.042358384267054e-13
8128,20,III,45.3125,2.7392345295270105e-13,2.743362062709063e-13
8128,20,III,45.703125,1.918467157366338e-13,1.9174639773566195e-13
8128,20,III,46.09375,1.3796640217814483e-13,1.37583933932149e-13
8128,20,III,46.484375,1.0166565900877928e-13,1.0113206022111823e-13
8128,20,III,46.875,7.667490937886721e-14,7.606819105068742e-14
8128,20,III,47.265625,5.91762661333102e-14,5.853493066434957e-14
8128,20,III,47.65625,4.677673430933852e-14,4.612508126854297e-14
8128,20,III,48.046875,3.7946645008054456e-14,3.729518490337535e-14
8128,20,III,48.4375,3.168859787907065e-14,3.104293423485174e-14
8128,20,III,48.828125,2.73503072372019e-14,2.671209985531102e-14
8128,20,III,49.21875,2.4508233618450867e-14,2.3875852816200695e-14
8128,20,III,49.609375,2.2898716513169124e-14,2.2271339041444787e-14
8128,20,III,50.0,1.118863209579279e-14,1.0875397070596996e-14
8128,20,aVR,0.0,1.1462706485043941e-06,1.1343894557221143e-06
8128,20,aVR,0.390625,6.217146277574232e-06,6.198063193526615e-06
8128,20,aVR,0.78125,1.2143213625842136e-05,1.2101647052960931e-05
8128,20,aVR,1.171875,1.2847357406156275e-05,1.3142639807441211e-05
8128,20,aVR,1.5625,1.2815374191895541e-05,1.3106115223799087e-05
8128,20,aVR,1.953125,1.306715663953827e-05,1.3269510604563056e-05
8128,20,aVR,2.34375,1.3181112009981637e-05,1.3420852626169146e-05
