model,kind,snr,condition,active,seed,noise_seed,metric,outcome,value
resnet,bandpass,0,independent_rms,all,17,8128,ap_HYP,clean_drop,0.10502634217182671
resnet,bandpass,0,independent_rms,all,17,8128,ap_HYP,normalized_robustness,0.8339822121717863
resnet,bandpass,0,independent_rms,all,17,8128,f1_NORM,absolute,0.4544049459041731
resnet,bandpass,0,independent_rms,all,17,8128,f1_NORM,clean_drop,0.39407990258067543
resnet,bandpass,0,independent_rms,all,17,8128,f1_NORM,normalized_robustness,0.5355486862435728
resnet,bandpass,0,independent_rms,all,17,8128,f1_MI,absolute,0.5212464589235127
resnet,bandpass,0,independent_rms,all,17,8128,f1_MI,clean_drop,0.1574420656666512
resnet,bandpass,0,independent_rms,all,17,8128,f1_MI,normalized_robustness,0.7680201447895514
resnet,bandpass,0,independent_rms,all,17,8128,f1_STTC,absolute,0.5723849372384937
resnet,bandpass,0,independent_rms,all,17,8128,f1_STTC,clean_drop,0.15831186125491492
resnet,bandpass,0,independent_rms,all,17,8128,f1_STTC,normalized_robustness,0.7833412414258356
resnet,bandpass,0,independent_rms,all,17,8128,f1_CD,absolute,0.6005459508644222
resnet,bandpass,0,independent_rms,all,17,8128,f1_CD,clean_drop,0.10494117119604818
resnet,bandpass,0,independent_rms,all,17,8128,f1_CD,normalized_robustness,0.8512500541605854
resnet,bandpass,0,independent_rms,all,17,8128,f1_HYP,absolute,0.5169628432956381
resnet,bandpass,0,independent_rms,all,17,8128,f1_HYP,clean_drop,0.07908742600418228
resnet,bandpass,0,independent_rms,all,17,8128,f1_HYP,normalized_robustness,0.8673141678168295
resnet,bandpass,10,covariance,all,17,8128,macro_auroc,absolute,0.8912498399196107
resnet,bandpass,10,covariance,all,17,8128,macro_auroc,clean_drop,0.015642459398735098
resnet,bandpass,10,covariance,all,17,8128,macro_auroc,normalized_robustness,0.9827515798607229
resnet,bandpass,10,covariance,all,17,8128,macro_ap,absolute,0.7561768782714066
resnet,bandpass,10,covariance,all,17,8128,macro_ap,clean_drop,0.024541616318954906
resnet,bandpass,10,covariance,all,17,8128,macro_ap,normalized_robustness,0.9685653452685269
resnet,bandpass,10,covariance,all,17,8128,macro_f1,absolute,0.6802589861734847
resnet,bandpass,10,covariance,all,17,8128,macro_f1,clean_drop,0.03162252641225771
resnet,bandpass,10,covariance,all,17,8128,macro_f1,normalized_robustness,0.9555789469818483
resnet,bandpass,10,covariance,all,17,8128,micro_auroc,absolute,0.8848374342869384
resnet,bandpass,10,covariance,all,17,8128,micro_ap,absolute,0.7511746353544173
resnet,bandpass,10,covariance,all,17,8128,micro_f1,absolute,0.7041773231031543
resnet,bandpass,10,covariance,all,17,8128,brier,absolute,0.1146427616477012
resnet,bandpass,10,covariance,all,17,8128,ece,absolute,0.0746873098785494
resnet,bandpass,10,covariance,all,17,8128,mean_loss,absolute,0.3627452782892472
resnet,bandpass,10,covariance,all,17,8128,mean_confidence,absolute,0.8568696975708008
resnet,bandpass,10,covariance,all,17,8128,mean_entropy,absolute,0.3289461202464663
resnet,bandpass,10,covariance,all,17,8128,clean_agreement,absolute,0.9347544022242816
resnet,bandpass,10,covariance,all,17,8128,probability_shift,absolute,0.0662960931658744
resnet,bandpass,10,covariance,all,17,8128,auroc_NORM,absolute,0.9244307146860622
resnet,bandpass,10,covariance,all,17,8128,auroc_NORM,clean_drop,0.009667314050843423
resnet,bandpass,10,covariance,all,17,8128,auroc_NORM,normalized_robustness,0.989650642914957
resnet,bandpass,10,covariance,all,17,8128,auroc_MI,absolute,0.8687867480777928
resnet,bandpass,10,covariance,all,17,8128,auroc_MI,clean_drop,0.017447987336047244
resnet,bandpass,10,covariance,all,17,8128,auroc_MI,normalized_robustness,0.980312228081559
resnet,bandpass,10,covariance,all,17,8128,auroc_STTC,absolute,0.8998378429714953
resnet,bandpass,10,covariance,all,17,8128,auroc_STTC,clean_drop,0.019538573557500105
resnet,bandpass,10,covariance,all,17,8128,auroc_STTC,normalized_robustness,0.9787480152773066
resnet,bandpass,10,covariance,all,17,8128,auroc_CD,absolute,0.8898043554209853
resnet,bandpass,10,covariance,all,17,8128,auroc_CD,clean_drop,0.0134105333643878
resnet,bandpass,10,covariance,all,17,8128,auroc_CD,normalized_robustness,0.9851524443054662
resnet,bandpass,10,covariance,all,17,8128,auroc_HYP,absolute,0.8733895384417174
resnet,bandpass,10,covariance,all,17,8128,auroc_HYP,clean_drop,0.01814788868489714
resnet,bandpass,10,covariance,all,17,8128,auroc_HYP,normalized_robustness,0.9796442772521995
resnet,bandpass,10,covariance,all,17,8128,ap_NORM,absolute,0.8928488147001319
resnet,bandpass,10,covariance,all,17,8128,ap_NORM,clean_drop,0.015799687795127304
resnet,bandpass,10,covariance,all,17,8128,ap_NORM,normalized_robustness,0.9826118815441592
resnet,bandpass,10,covariance,all,17,8128,ap_MI,absolute,0.7143253653647412
resnet,bandpass,10,covariance,all,17,8128,ap_MI,clean_drop,0.032013839793967436
