model,kind,snr,condition,active,metric,outcome,noise_seed,uncertainty,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,electrode,all,auroc_CD,absolute,8128,training_seed_student_t_95,3,0.8257584947530505,0.011918296823132814,0.796151804155239,0.855365185350862
resnet,bandpass,0,electrode,all,auroc_CD,clean_drop,8128,training_seed_student_t_95,3,0.07249047332531082,0.01553516243057108,0.03389899047384052,0.11108195617678113
resnet,bandpass,0,electrode,all,auroc_CD,normalized_robustness,8128,training_seed_student_t_95,3,0.91934547473421,0.016948434929831138,0.8772432283703917,0.9614477210980283
resnet,bandpass,0,electrode,all,auroc_HYP,absolute,8128,training_seed_student_t_95,3,0.8509960704737978,0.011457974033014115,0.8225328850784841,0.8794592558691114
resnet,bandpass,0,electrode,all,auroc_HYP,clean_drop,8128,training_seed_student_t_95,3,0.04185321179716776,0.010652047933913535,0.015392057817488876,0.06831436577684663
resnet,bandpass,0,electrode,all,auroc_HYP,normalized_robustness,8128,training_seed_student_t_95,3,0.9531214008799224,0.011964420742738902,0.9234001321140051,0.9828426696458397
resnet,bandpass,0,electrode,all,auroc_MI,absolute,8128,training_seed_student_t_95,3,0.7402798507462687,0.04383436760970169,0.631389245097631,0.8491704563949064
resnet,bandpass,0,electrode,all,auroc_MI,clean_drop,8128,training_seed_student_t_95,3,0.15013474295190718,0.038974386094861604,0.05331700066254358,0.24695248524127078
resnet,bandpass,0,electrode,all,auroc_MI,normalized_robustness,8128,training_seed_student_t_95,3,0.8312294315257822,0.044687640630408205,0.7202191781880146,0.9422396848635498
resnet,bandpass,0,electrode,all,auroc_NORM,absolute,8128,training_seed_student_t_95,3,0.8505452075467326,0.022535573147440827,0.7945637404359605,0.9065266746575047
resnet,bandpass,0,electrode,all,auroc_NORM,clean_drop,8128,training_seed_student_t_95,3,0.08302825172961636,0.020922507062502493,0.031053862911935383,0.13500264054729735
resnet,bandpass,0,electrode,all,auroc_NORM,normalized_robustness,8128,training_seed_student_t_95,3,0.9110381833935252,0.022588458074184414,0.8549253428418477,0.9671510239452026
resnet,bandpass,0,electrode,all,auroc_STTC,absolute,8128,training_seed_student_t_95,3,0.8086957439349401,0.023604389602762874,0.7500591895605961,0.8673322983092842
resnet,bandpass,0,electrode,all,auroc_STTC,clean_drop,8128,training_seed_student_t_95,3,0.11539139485138734,0.01948563583276199,0.0669863920423896,0.1637963976603851
resnet,bandpass,0,electrode,all,auroc_STTC,normalized_robustness,8128,training_seed_student_t_95,3,0.8750649092552658,0.02168567300571832,0.8211947111377423,0.9289351073727893
resnet,bandpass,0,electrode,all,brier,absolute,8128,training_seed_student_t_95,3,0.17735204100608817,0.021823075006417107,0.12314051739696316,0.23156356461521319
resnet,bandpass,0,electrode,all,clean_agreement,absolute,8128,training_seed_student_t_95,3,0.7255483472350942,0.04516304716701669,0.6133571185913395,0.837739575878849
resnet,bandpass,0,electrode,all,ece,absolute,8128,training_seed_student_t_95,3,0.15942277158767323,0.016498235046513605,0.11843888373181571,0.20040665944353075
resnet,bandpass,0,electrode,all,f1_CD,absolute,8128,training_seed_student_t_95,3,0.5865794077256213,0.03552765755788166,0.49832381377702956,0.6748350016742131
resnet,bandpass,0,electrode,all,f1_CD,clean_drop,8128,training_seed_student_t_95,3,0.12232369584921843,0.03256627890400324,0.041424574293407304,0.20322281740502957
