kind,snr,metric,n,undefined,mean,sd,max
bandpass,20,V1_requested_relative_band_error,2158,0,0.03408169974477522,0.026413282251691324,0.1817819867256669
bandpass,20,V1_requested_relative_total_error,2158,0,0.033820909038720835,0.026207573369634536,0.18075755308779562
bandpass,20,V1_baseline_0_0.5_reference_mv2,2158,0,1.990040337625411e-06,3.814550980902592e-06,0.00012013515706365787
bandpass,20,V1_baseline_0_0.5_abs_error_mv2,2158,0,1.1683728116184809e-06,2.141548404245045e-06,4.9059057248479956e-05
bandpass,20,V1_baseline_0_0.5_relative_band_error,2158,0,0.8121712881705078,1.078006295669065,12.911816574195159
bandpass,20,V1_baseline_0_0.5_relative_total_error,2158,0,0.0025545718985347933,0.0022383320797721247,0.01594715577725038
bandpass,20,V1_ecg_0.5_40_reference_mv2,2158,0,0.0004576535781967573,0.0005905548079270087,0.013860530938917466
bandpass,20,V1_ecg_0.5_40_abs_error_mv2,2158,0,1.5807364290224982e-05,3.411912899320231e-05,0.001153398068548939
bandpass,20,V1_ecg_0.5_40_relative_band_error,2158,0,0.03408169974477522,0.026413282251691324,0.1817819867256669
bandpass,20,V1_ecg_0.5_40_relative_total_error,2158,0,0.033820909038720835,0.026207573369634536,0.18075755308779562
bandpass,20,V1_high_40_nyquist_reference_mv2,2158,0,1.5490887000713623e-06,2.535152821244413e-06,7.308968582856007e-05
bandpass,20,V1_high_40_nyquist_abs_error_mv2,2158,0,9.16814320827898e-07,1.8064860888618816e-06,4.6352984810409944e-05
bandpass,20,V1_high_40_nyquist_relative_band_error,2158,0,0.7361793024334367,0.941750437425738,9.481211897733827
bandpass,20,V1_high_40_nyquist_relative_total_error,2158,0,0.0019376432896773498,0.0016560711567244596,0.012904762761145303
bandpass,20,V2_welch_total_reference_mv2,2158,0,0.00046137762143407224,0.0006143420128988866,0.015833131701370323
bandpass,20,V2_welch_relative_l1,2158,0,0.45884830636618557,0.040631308504047156,0.6172126940125648
bandpass,20,V2_requested_reference_mv2,2158,0,0.0004578541184018049,0.0006099943895533114,0.015748045921335135
bandpass,20,V2_requested_abs_error_mv2,2158,0,1.6061451650393735e-05,2.851291734946523e-05,0.000624528871127232
bandpass,20,V2_requested_relative_band_error,2158,0,0.034347999489136326,0.026032514906195636,0.17054074152103113
bandpass,20,V2_requested_relative_total_error,2158,0,0.034084305226021,0.025829277094431613,0.16917272464832647
bandpass,20,V2_baseline_0_0.5_reference_mv2,2158,0,1.9364524359991655e-06,2.9035477816903812e-06,5.226092481449051e-05
bandpass,20,V2_baseline_0_0.5_abs_error_mv2,2158,0,1.1967825983743266e-06,2.6024023909180184e-06,6.659104961303596e-05
bandpass,20,V2_baseline_0_0.5_relative_band_error,2158,0,0.7755031569256672,1.0403984091531993,15.904538547103689
bandpass,20,V2_baseline_0_0.5_relative_total_error,2158,0,0.0025285209982175323,0.0022154935608174418,0.018363338413377835
bandpass,20,V2_ecg_0.5_40_reference_mv2,2158,0,0.0004578541184018049,0.0006099943895533114,0.015748045921335135
