distribution_index,model,kind,snr,active,noise_seed,training_seed,n_fixed_training_seeds,outcome,lhs,rhs,metric,point,ci95_low,ci95_high,n_bootstrap,n_valid,n_invalid,ci_method,conditioning
55,resnet,bandpass,20,all,8128,29,1,clean_drop,clean,independent,auroc_NORM,0.0011957055401312644,0.0003203950189308802,0.0020923816446868438,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
56,resnet,bandpass,20,all,8128,29,1,clean_drop,clean,independent,auroc_MI,0.002355269109000524,0.0009654080260914272,0.003762956243124521,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
57,resnet,bandpass,20,all,8128,29,1,clean_drop,clean,independent,auroc_STTC,0.0011549144835656389,0.00018418470227480333,0.002136863650621076,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
58,resnet,bandpass,20,all,8128,29,1,clean_drop,clean,independent,auroc_CD,-0.0009025270758122872,-0.002436529677311924,0.0006792142402206322,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
59,resnet,bandpass,20,all,8128,29,1,clean_drop,clean,independent,auroc_HYP,-0.00017111154056759226,-0.0015179221476134541,0.0010544465934013863,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
60,resnet,bandpass,20,all,8128,43,1,clean_drop,clean,independent,macro_auroc,0.0005945834974048214,-0.00016071870616620466,0.0013302797534592845,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
61,resnet,bandpass,20,all,8128,43,1,clean_drop,clean,independent,auroc_NORM,0.0008020612017014539,-0.0002817549109543932,0.0018988234263125703,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
62,resnet,bandpass,20,all,8128,43,1,clean_drop,clean,independent,auroc_MI,0.0005529172320216658,-0.0009289251024401979,0.001965545675742767,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
63,resnet,bandpass,20,all,8128,43,1,clean_drop,clean,independent,auroc_STTC,0.00030836802962208587,-0.0010071676416281762,0.0016055040845035702,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
64,resnet,bandpass,20,all,8128,43,1,clean_drop,clean,independent,auroc_CD,0.001182747175963672,-0.00077143415195296,0.0031068666487045443,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
65,resnet,bandpass,20,all,8128,43,1,clean_drop,clean,independent,auroc_HYP,0.0001268238477147854,-0.0013799999045876004,0.0015619035193555452,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
66,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent,macro_auroc,0.0008785023177405223,0.00043341861177627984,0.0013377769625561935,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
67,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent,auroc_NORM,0.0009912074511456703,0.00036563361634923687,0.001674939504602597,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
68,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent,auroc_MI,0.0015083672546359155,0.0006068274902841722,0.002403722456560721,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
69,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent,auroc_STTC,0.0007152262284010336,-7.618355584219822e-05,0.001494951390522984,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
70,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent,auroc_CD,0.0004811860305630189,-0.0006034196839696832,0.0015349381195950574,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
71,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent,auroc_HYP,0.0006965246239571954,-0.00030783605171913475,0.0016514017686507785,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
72,resnet,bandpass,20,all,8128,17,1,absolute,independent_rms,,macro_auroc,0.905541899397733,0.8970306853542228,0.9133012236140367,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
73,resnet,bandpass,20,all,8128,17,1,absolute,independent_rms,,auroc_NORM,0.9331186972371034,0.9218339931235051,0.943209931827975,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
74,resnet,bandpass,20,all,8128,17,1,absolute,independent_rms,,auroc_MI,0.8846302578018996,0.8677160884868038,0.9003628782334934,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
75,resnet,bandpass,20,all,8128,17,1,absolute,independent_rms,,auroc_STTC,0.9185591826253962,0.9058748860874074,0.9312725962024747,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
76,resnet,bandpass,20,all,8128,17,1,absolute,independent_rms,,auroc_CD,0.902096434532821,0.8836265228226597,0.9188735053746327,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
