model,kind,snr,condition,active,metric,outcome,noise_seed,n_training_seeds,mean_over_training_seeds
resnet,bandpass,0,covariance,all,f1_CD,absolute,303,3,0.5856745866230227
resnet,bandpass,0,covariance,all,f1_CD,absolute,404,3,0.5810533646641564
resnet,bandpass,0,covariance,all,f1_CD,absolute,505,3,0.5807418455064121
resnet,bandpass,0,covariance,all,f1_CD,clean_drop,101,3,0.1227350737616048
resnet,bandpass,0,covariance,all,f1_CD,clean_drop,202,3,0.121411255279206
resnet,bandpass,0,covariance,all,f1_CD,clean_drop,303,3,0.12322851695181714
resnet,bandpass,0,covariance,all,f1_CD,clean_drop,404,3,0.12784973891068352
resnet,bandpass,0,covariance,all,f1_CD,clean_drop,505,3,0.12816125806842782
resnet,bandpass,0,covariance,all,f1_CD,normalized_robustness,101,3,0.8267050142898139
resnet,bandpass,0,covariance,all,f1_CD,normalized_robustness,202,3,0.8285826262968357
resnet,bandpass,0,covariance,all,f1_CD,normalized_robustness,303,3,0.8260283419982355
resnet,bandpass,0,covariance,all,f1_CD,normalized_robustness,404,3,0.8194828593694714
resnet,bandpass,0,covariance,all,f1_CD,normalized_robustness,505,3,0.8191017582162083
resnet,bandpass,0,covariance,all,f1_HYP,absolute,101,3,0.5018058560137433
resnet,bandpass,0,covariance,all,f1_HYP,absolute,202,3,0.51436941504838
resnet,bandpass,0,covariance,all,f1_HYP,absolute,303,3,0.5023758929670731
resnet,bandpass,0,covariance,all,f1_HYP,absolute,404,3,0.49671524393220173
resnet,bandpass,0,covariance,all,f1_HYP,absolute,505,3,0.49367015790373453
resnet,bandpass,0,covariance,all,f1_HYP,clean_drop,101,3,0.09975335113637605
resnet,bandpass,0,covariance,all,f1_HYP,clean_drop,202,3,0.08718979210173945
resnet,bandpass,0,covariance,all,f1_HYP,clean_drop,303,3,0.09918331418304627
resnet,bandpass,0,covariance,all,f1_HYP,clean_drop,404,3,0.10484396321791763
resnet,bandpass,0,covariance,all,f1_HYP,clean_drop,505,3,0.1078890492463848
resnet,bandpass,0,covariance,all,f1_HYP,normalized_robustness,101,3,0.8346087387581429
resnet,bandpass,0,covariance,all,f1_HYP,normalized_robustness,202,3,0.8555855839104614
resnet,bandpass,0,covariance,all,f1_HYP,normalized_robustness,303,3,0.8362522202135367
resnet,bandpass,0,covariance,all,f1_HYP,normalized_robustness,404,3,0.825475529867466
resnet,bandpass,0,covariance,all,f1_HYP,normalized_robustness,505,3,0.8211794199098411
resnet,bandpass,0,covariance,all,f1_MI,absolute,101,3,0.46061078241972947
resnet,bandpass,0,covariance,all,f1_MI,absolute,202,3,0.4633675000566846
resnet,bandpass,0,covariance,all,f1_MI,absolute,303,3,0.4592427633008453
resnet,bandpass,0,covariance,all,f1_MI,absolute,404,3,0.4640305452567434
resnet,bandpass,0,covariance,all,f1_MI,absolute,505,3,0.45410997791650126
resnet,bandpass,0,covariance,all,f1_MI,clean_drop,101,3,0.22421820003602547
resnet,bandpass,0,covariance,all,f1_MI,clean_drop,202,3,0.22146148239907038
resnet,bandpass,0,covariance,all,f1_MI,clean_drop,303,3,0.22558621915490965
resnet,bandpass,0,covariance,all,f1_MI,clean_drop,404,3,0.22079843719901157
resnet,bandpass,0,covariance,all,f1_MI,clean_drop,505,3,0.23071900453925367
resnet,bandpass,0,covariance,all,f1_MI,normalized_robustness,101,3,0.6727201234370185
resnet,bandpass,0,covariance,all,f1_MI,normalized_robustness,202,3,0.6768210557121992
resnet,bandpass,0,covariance,all,f1_MI,normalized_robustness,303,3,0.670683186840625
resnet,bandpass,0,covariance,all,f1_MI,normalized_robustness,404,3,0.6777549476925357
resnet,bandpass,0,covariance,all,f1_MI,normalized_robustness,505,3,0.6631858428231712
resnet,bandpass,0,covariance,all,f1_NORM,absolute,101,3,0.34342166524656026
resnet,bandpass,0,covariance,all,f1_NORM,absolute,202,3,0.3406829301576362
resnet,bandpass,0,covariance,all,f1_NORM,absolute,303,3,0.34545464716931695
resnet,bandpass,0,covariance,all,f1_NORM,absolute,404,3,0.3557419114996268
resnet,bandpass,0,covariance,all,f1_NORM,absolute,505,3,0.33674051794447485
resnet,bandpass,0,covariance,all,f1_NORM,clean_drop,101,3,0.50341108115577
resnet,bandpass,0,covariance,all,f1_NORM,clean_drop,202,3,0.5061498162446942
resnet,bandpass,0,covariance,all,f1_NORM,clean_drop,303,3,0.5013780992330134
resnet,bandpass,0,covariance,all,f1_NORM,clean_drop,404,3,0.4910908349027035
resnet,bandpass,0,covariance,all,f1_NORM,clean_drop,505,3,0.5100922284578554
resnet,bandpass,0,covariance,all,f1_NORM,normalized_robustness,101,3,0.40566869699494035
resnet,bandpass,0,covariance,all,f1_NORM,normalized_robustness,202,3,0.40244780391233376
resnet,bandpass,0,covariance,all,f1_NORM,normalized_robustness,303,3,0.4080991282360042
resnet,bandpass,0,covariance,all,f1_NORM,normalized_robustness,404,3,0.4202297404857987
resnet,bandpass,0,covariance,all,f1_NORM,normalized_robustness,505,3,0.39778831980639606
resnet,bandpass,0,covariance,all,f1_STTC,absolute,101,3,0.518215965049615
resnet,bandpass,0,covariance,all,f1_STTC,absolute,202,3,0.5170043600603413
resnet,bandpass,0,covariance,all,f1_STTC,absolute,303,3,0.5217926852445087
resnet,bandpass,0,covariance,all,f1_STTC,absolute,404,3,0.5296715097464617
resnet,bandpass,0,covariance,all,f1_STTC,absolute,505,3,0.5290535314374508
resnet,bandpass,0,covariance,all,f1_STTC,clean_drop,101,3,0.22833914799618993
resnet,bandpass,0,covariance,all,f1_STTC,clean_drop,202,3,0.22955075298546354
resnet,bandpass,0,covariance,all,f1_STTC,clean_drop,303,3,0.2247624278012961
resnet,bandpass,0,covariance,all,f1_STTC,clean_drop,404,3,0.2168836032993432
resnet,bandpass,0,covariance,all,f1_STTC,clean_drop,505,3,0.217501581608354
resnet,bandpass,0,covariance,all,f1_STTC,normalized_robustness,101,3,0.6944979580741139
resnet,bandpass,0,covariance,all,f1_STTC,normalized_robustness,202,3,0.6932011692532464
resnet,bandpass,0,covariance,all,f1_STTC,normalized_robustness,303,3,0.6991640412200563
resnet,bandpass,0,covariance,all,f1_STTC,normalized_robustness,404,3,0.7096984961748883
resnet,bandpass,0,covariance,all,f1_STTC,normalized_robustness,505,3,0.7090316849777835
resnet,bandpass,0,covariance,all,macro_ap,absolute,101,3,0.6311995421845417
resnet,bandpass,0,covariance,all,macro_ap,absolute,202,3,0.6355380157396552
resnet,bandpass,0,covariance,all,macro_ap,absolute,303,3,0.6353631612546837
resnet,bandpass,0,covariance,all,macro_ap,absolute,404,3,0.6364473767464781
resnet,bandpass,0,covariance,all,macro_ap,absolute,505,3,0.6351250659604246
resnet,bandpass,0,covariance,all,macro_ap,clean_drop,101,3,0.15486939903379146
resnet,bandpass,0,covariance,all,macro_ap,clean_drop,202,3,0.15053092547867794
resnet,bandpass,0,covariance,all,macro_ap,clean_drop,303,3,0.15070577996364945
resnet,bandpass,0,covariance,all,macro_ap,clean_drop,404,3,0.14962156447185507
resnet,bandpass,0,covariance,all,macro_ap,clean_drop,505,3,0.15094387525790853
resnet,bandpass,0,covariance,all,macro_ap,normalized_robustness,101,3,0.8029354842116986
resnet,bandpass,0,covariance,all,macro_ap,normalized_robustness,202,3,0.8084332577472115
resnet,bandpass,0,covariance,all,macro_ap,normalized_robustness,303,3,0.8082021404618643
resnet,bandpass,0,covariance,all,macro_ap,normalized_robustness,404,3,0.8095971499120612
resnet,bandpass,0,covariance,all,macro_ap,normalized_robustness,505,3,0.8079489209496423
resnet,bandpass,0,covariance,all,macro_auroc,absolute,101,3,0.8118206897744779
resnet,bandpass,0,covariance,all,macro_auroc,absolute,202,3,0.814838231117375
resnet,bandpass,0,covariance,all,macro_auroc,absolute,303,3,0.8128390548096581
resnet,bandpass,0,covariance,all,macro_auroc,absolute,404,3,0.8141244810946899
resnet,bandpass,0,covariance,all,macro_auroc,absolute,505,3,0.8138404656078775
resnet,bandpass,0,covariance,all,macro_auroc,clean_drop,101,3,0.09601399864755811
resnet,bandpass,0,covariance,all,macro_auroc,clean_drop,202,3,0.09299645730466084
resnet,bandpass,0,covariance,all,macro_auroc,clean_drop,303,3,0.09499563361237777
resnet,bandpass,0,covariance,all,macro_auroc,clean_drop,404,3,0.09371020732734592
resnet,bandpass,0,covariance,all,macro_auroc,clean_drop,505,3,0.09399422281415837
resnet,bandpass,0,covariance,all,macro_auroc,normalized_robustness,101,3,0.8942255786815577
resnet,bandpass,0,covariance,all,macro_auroc,normalized_robustness,202,3,0.8975499540035322
resnet,bandpass,0,covariance,all,macro_auroc,normalized_robustness,303,3,0.8953480980584999
resnet,bandpass,0,covariance,all,macro_auroc,normalized_robustness,404,3,0.8967643455648354
resnet,bandpass,0,covariance,all,macro_auroc,normalized_robustness,505,3,0.8964515644670014
resnet,bandpass,0,covariance,all,macro_f1,absolute,101,3,0.4820444597085767
resnet,bandpass,0,covariance,all,macro_f1,absolute,202,3,0.4845832107237351
resnet,bandpass,0,covariance,all,macro_f1,absolute,303,3,0.4829081150609534
resnet,bandpass,0,covariance,all,macro_f1,absolute,404,3,0.485442515019838
resnet,bandpass,0,covariance,all,macro_f1,absolute,505,3,0.4788632061417147
resnet,bandpass,0,covariance,all,macro_f1,clean_drop,101,3,0.23569137081719319
resnet,bandpass,0,covariance,all,macro_f1,clean_drop,202,3,0.23315261980203472
resnet,bandpass,0,covariance,all,macro_f1,clean_drop,303,3,0.2348277154648165
resnet,bandpass,0,covariance,all,macro_f1,clean_drop,404,3,0.2322933155059319
resnet,bandpass,0,covariance,all,macro_f1,clean_drop,505,3,0.23887262438405513
resnet,bandpass,0,covariance,all,macro_f1,normalized_robustness,101,3,0.6715840542128314
resnet,bandpass,0,covariance,all,macro_f1,normalized_robustness,202,3,0.6751174524919631
resnet,bandpass,0,covariance,all,macro_f1,normalized_robustness,303,3,0.6727885317651077
resnet,bandpass,0,covariance,all,macro_f1,normalized_robustness,404,3,0.6763237546295336
resnet,bandpass,0,covariance,all,macro_f1,normalized_robustness,505,3,0.6671791040727396
resnet,bandpass,0,covariance,all,mean_confidence,absolute,101,3,0.7803288698196411
resnet,bandpass,0,covariance,all,mean_confidence,absolute,202,3,0.78029998143514
resnet,bandpass,0,covariance,all,mean_confidence,absolute,303,3,0.780877947807312
resnet,bandpass,0,covariance,all,mean_confidence,absolute,404,3,0.7799416383107504
resnet,bandpass,0,covariance,all,mean_confidence,absolute,505,3,0.7795812090237936
resnet,bandpass,0,covariance,all,mean_entropy,absolute,101,3,0.4637973187478736
resnet,bandpass,0,covariance,all,mean_entropy,absolute,202,3,0.46375318940842186
resnet,bandpass,0,covariance,all,mean_entropy,absolute,303,3,0.46318969312012986
resnet,bandpass,0,covariance,all,mean_entropy,absolute,404,3,0.4642152129570556
resnet,bandpass,0,covariance,all,mean_entropy,absolute,505,3,0.4644019777267276
resnet,bandpass,0,covariance,all,mean_loss,absolute,101,3,0.5312971125029686
resnet,bandpass,0,covariance,all,mean_loss,absolute,202,3,0.5298042393370718
resnet,bandpass,0,covariance,all,mean_loss,absolute,303,3,0.5299944531068418
resnet,bandpass,0,covariance,all,mean_loss,absolute,404,3,0.5283933403504674
resnet,bandpass,0,covariance,all,mean_loss,absolute,505,3,0.5286156098027951
resnet,bandpass,0,covariance,all,micro_ap,absolute,101,3,0.5064199838228585
resnet,bandpass,0,covariance,all,micro_ap,absolute,202,3,0.5105188945650078
resnet,bandpass,0,covariance,all,micro_ap,absolute,303,3,0.5108921619282888
resnet,bandpass,0,covariance,all,micro_ap,absolute,404,3,0.5098739193905143
resnet,bandpass,0,covariance,all,micro_ap,absolute,505,3,0.5110095709992647
resnet,bandpass,0,covariance,all,micro_auroc,absolute,101,3,0.7320435200729505
resnet,bandpass,0,covariance,all,micro_auroc,absolute,202,3,0.733470713965502
resnet,bandpass,0,covariance,all,micro_auroc,absolute,303,3,0.7334125421876004
resnet,bandpass,0,covariance,all,micro_auroc,absolute,404,3,0.7349252248592234
resnet,bandpass,0,covariance,all,micro_auroc,absolute,505,3,0.7337052072831961
resnet,bandpass,0,covariance,all,micro_f1,absolute,101,3,0.47888345762600437
resnet,bandpass,0,covariance,all,micro_f1,absolute,202,3,0.4803077399303765
resnet,bandpass,0,covariance,all,micro_f1,absolute,303,3,0.47944349170843825
resnet,bandpass,0,covariance,all,micro_f1,absolute,404,3,0.48231697618209984
resnet,bandpass,0,covariance,all,micro_f1,absolute,505,3,0.4761657720639194
resnet,bandpass,0,covariance,all,probability_shift,absolute,101,3,0.21998956799507133
resnet,bandpass,0,covariance,all,probability_shift,absolute,202,3,0.22014263272285453
