model,seed,noise_seed,snr,macro_auroc,macro_ap,macro_f1,mean_loss
tcn,29,505,20,0.0003315442155430448,0.0006325935170029551,0.0005019976105016255,-0.0014131179697353113
tcn,43,505,20,0.00015751674807007454,0.0004857565742174552,-0.00025473237698103723,-0.002079191086413412
resnet,17,505,10,-0.00156340703223401,-0.0025854955336426233,-0.005025919708026572,0.009467146501190626
resnet,29,505,10,-0.0012099176812645496,0.0007102520071852192,-0.002605951959211761,0.0028774688834475315
resnet,43,505,10,0.0007036732435603543,0.0017359248675330452,-0.010983108205978476,0.003162941703949318
tcn,17,505,10,0.0003500000068902276,0.0005533628794918144,-0.0031155352909840728,-0.0017891049861176733
tcn,29,505,10,1.937585226152727e-05,0.0006398474064869264,-0.006833056061054998,0.0023783942146039516
tcn,43,505,10,-0.0003138212044833111,-0.0004743092187382558,-0.006396400530582325,-0.005668654958375208
resnet,17,505,0,-0.02436303600806733,-0.03832939197436014,-0.07500704524935542,0.06321583964794464
resnet,29,505,0,-0.016895030507090625,-0.02602288109063322,-0.06006875731004424,0.024952670592695347
resnet,43,505,0,-0.015478450430467583,-0.02828644559367577,-0.06203918252211971,0.06432314279626838
tcn,17,505,0,-0.008188826905435098,-0.012146753950256661,-0.07555129600303045,0.054515034714372856
tcn,29,505,0,-0.014760783600945016,-0.019365242175381048,-0.08977545292421119,0.15279457397296148
tcn,43,505,0,-0.012533534943381053,-0.02031048347278208,-0.12861492203856234,0.07519472319748394
