model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_f1,-0.041297570827376506,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,RA,noisy_minus_clean,covariance,loss,0.034696614680090526,0.025887812212932137,0.045243215326457864,0.000999000999000999,,0.6813081797790916,91,100,1,patient,3464271116657767650,500,17833979146734411363,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.01987759856347615,0.7802197802197802,0.0320603424072782,0.026190159584494034
resnet,bandpass,10,RA,noisy_minus_clean,covariance,mean_probability,0.003374638668244232,0.0019412468697717418,0.004660134516772114,0.000999000999000999,,0.502295220465175,91,100,1,patient,6580150433514525670,500,7134810110078138319,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0026817329227924345,0.6813186813186813,0.0030144050695345205,0.002418820878223493
resnet,bandpass,10,RA,noisy_minus_clean,covariance,probability_shift,0.0183081810086436,0.01637254136243127,0.020649551331856076,0.000999000999000999,,1.6461075519460378,91,100,1,patient,18365578199785246483,500,4509856795644382890,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.015925914607942106,1.0,0.0176711547664597,0.016476224349868264
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_auroc,-0.047781885416007364,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_ap,-0.03221635228364339,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_f1,-0.014321287192483989,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,RA,noisy_minus_clean,electrode,loss,0.03919428408420717,0.029202352820523362,0.051362855927854875,0.000999000999000999,,0.6732270673559995,91,100,1,patient,13302398293901718883,500,2120000135696993449,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.019823095538529678,0.8351648351648352,0.03569178556541694,0.029113421441288763
resnet,bandpass,10,RA,noisy_minus_clean,electrode,mean_probability,0.0035712680661859767,0.0022713126186484707,0.0049384899467683945,0.000999000999000999,,0.5230056328450811,91,100,1,patient,15069465141300747973,500,15096836948277147843,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0022062488831579687,0.6813186813186813,0.003247334089456468,0.0025687393293947008
resnet,bandpass,10,RA,noisy_minus_clean,electrode,probability_shift,0.01873755459916265,0.01678692623858974,0.020887560048900345,0.000999000999000999,,1.7974336878353934,91,100,1,patient,2700224981735199921,500,12830899094459327566,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.016236141324043274,1.0,0.018300968987939762,0.017123391855973846
resnet,bandpass,10,RA,noisy_minus_clean,electrode,macro_auroc,-0.04902974508278213,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,RA,noisy_minus_clean,electrode,macro_ap,-0.043772139557160916,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,RA,noisy_minus_clean,electrode,macro_f1,-0.0014987280126415037,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,RA,noisy_minus_clean,independent_rms,loss,0.0384272084699343,0.027368606125788956,0.050819543240197544,0.000999000999000999,,0.62812489937233,91,100,1,patient,16866041191399196537,500,5589835764504329484,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.01976165570532068,0.8021978021978022,0.035289305290599315,0.026616974960224485
