model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,10,independent,all,macro_ap,1,0.4255509424208568,,,
resnet,bandpass,10,independent,all,macro_f1,1,0.4071159618040396,,,
resnet,bandpass,10,independent,all,micro_auroc,1,0.4418892809139785,,,
resnet,bandpass,10,independent,all,micro_ap,1,0.2693929706390877,,,
resnet,bandpass,10,independent,all,micro_f1,1,0.4850299401197604,,,
resnet,bandpass,10,independent,all,brier,1,0.2634795010089874,,,
resnet,bandpass,10,independent,all,ece,1,0.2985529868304729,,,
resnet,bandpass,10,independent,all,mean_loss,1,0.7678701916053617,,,
resnet,bandpass,10,independent,all,mean_confidence,1,0.6412168741226196,,,
resnet,bandpass,10,independent,all,mean_entropy,1,0.6097847081863724,,,
resnet,bandpass,10,independent,all,clean_agreement,1,0.928,,,
resnet,bandpass,10,independent,all,probability_shift,1,0.0202748719602823,,,
resnet,bandpass,10,independent,all,auroc_NORM,1,0.6922769107643056,,,
resnet,bandpass,10,independent,all,auroc_MI,1,0.593892137751787,,,
resnet,bandpass,10,independent,all,auroc_STTC,1,0.4816468253968254,,,
resnet,bandpass,10,independent,all,auroc_CD,1,0.6223776223776223,,,
resnet,bandpass,10,independent,all,auroc_HYP,1,0.9022222222222224,,,
resnet,bandpass,10,independent,all,ap_NORM,1,0.6402334957411273,,,
resnet,bandpass,10,independent,all,ap_MI,1,0.2403359149458473,,,
resnet,bandpass,10,independent,all,ap_STTC,1,0.3092052222016338,,,
resnet,bandpass,10,independent,all,ap_CD,1,0.3399206882352028,,,
resnet,bandpass,10,independent,all,ap_HYP,1,0.5980593909804724,,,
resnet,bandpass,10,independent,all,f1_NORM,1,0.7086614173228346,,,
resnet,bandpass,10,independent,all,f1_MI,1,0.1764705882352941,,,
resnet,bandpass,10,independent,all,f1_STTC,1,0.3962264150943396,,,
resnet,bandpass,10,independent,all,f1_CD,1,0.2926829268292683,,,
resnet,bandpass,10,independent,all,f1_HYP,1,0.4615384615384615,,,
resnet,bandpass,10,independent_rms,RA,macro_auroc,1,0.6561519616434477,,,
resnet,bandpass,10,independent_rms,RA,macro_ap,1,0.4401280835028894,,,
