model,seed,kind,snr,condition,active,metric,clean,noisy,clean_drop,normalized_robustness
resnet,17,bandpass,10,independent,all,f1_MI,0.2162162162162162,0.1764705882352941,0.0397456279809221,0.8161764705844604
resnet,17,bandpass,10,independent,all,f1_STTC,0.4081632653061224,0.3962264150943396,0.011936850211782812,0.9707547169787538
resnet,17,bandpass,10,independent,all,f1_CD,0.2702702702702703,0.2926829268292683,-0.02241265655899799,1.0829268292642857
resnet,17,bandpass,10,independent,all,f1_HYP,0.5263157894736842,0.4615384615384615,0.06477732793522267,0.8769230769214108
resnet,17,bandpass,10,independent_rms,RA,macro_auroc,0.6814478665046628,0.6561519616434477,0.025295904861215135,0.9628791781359185
resnet,17,bandpass,10,independent_rms,RA,macro_ap,0.4606974166244021,0.4401280835028894,0.020569333121512712,0.9553517506714438
resnet,17,bandpass,10,independent_rms,RA,macro_f1,0.4237279919741888,0.4265526926588078,-0.002824700684618986,1.0066663065388997
resnet,17,bandpass,10,independent_rms,RA,auroc_NORM,0.7106842737094838,0.6946778711484594,0.01600640256102448,0.977477477476102
resnet,17,bandpass,10,independent_rms,RA,auroc_MI,0.5971410006497726,0.5672514619883041,0.029889538661468484,0.9499455930343178
resnet,17,bandpass,10,independent_rms,RA,auroc_STTC,0.5629960317460317,0.4985119047619047,0.06448412698412703,0.8854625550645064
resnet,17,bandpass,10,independent_rms,RA,auroc_CD,0.6375291375291374,0.6258741258741258,0.011655011655011593,0.9817184643494657
resnet,17,bandpass,10,independent_rms,RA,auroc_HYP,0.8988888888888888,0.8944444444444445,0.004444444444444362,0.9950556242263344
resnet,17,bandpass,10,independent_rms,RA,ap_NORM,0.6637085784687504,0.6399337606623426,0.023774817806407778,0.9641788300187063
resnet,17,bandpass,10,independent_rms,RA,ap_MI,0.2919282460446278,0.2546016268855647,0.0373266191590631,0.8721376925128752
resnet,17,bandpass,10,independent_rms,RA,ap_STTC,0.3905077347304957,0.3827278973478802,0.0077798373826155065,0.98007763562234
resnet,17,bandpass,10,independent_rms,RA,ap_CD,0.3514333127189256,0.3385973471867002,0.01283596553222538,0.9634753875952137
resnet,17,bandpass,10,independent_rms,RA,ap_HYP,0.6059092111592111,0.5847797854319593,0.02112942572725185,0.9651277364016424
resnet,17,bandpass,10,independent_rms,RA,f1_NORM,0.6976744186046512,0.7086614173228346,-0.010986998718183427,1.015748031494607
resnet,17,bandpass,10,independent_rms,RA,f1_MI,0.2162162162162162,0.2702702702702703,-0.054054054054054085,1.2499999999942188
resnet,17,bandpass,10,independent_rms,RA,f1_STTC,0.4081632653061224,0.3738317757009345,0.03433148960518789,0.9158878504650457
resnet,17,bandpass,10,independent_rms,RA,f1_CD,0.2702702702702703,0.3,-0.029729729729729704,1.109999999995893
resnet,17,bandpass,10,independent_rms,RA,f1_HYP,0.5263157894736842,0.48,0.0463157894736842,0.9119999999982673
resnet,17,bandpass,10,independent_rms,all,macro_auroc,0.6814478665046628,0.6622546586554032,0.019193207849259597,0.9718346644055418
resnet,17,bandpass,10,independent_rms,all,macro_ap,0.4606974166244021,0.4273341756268502,0.03336324099755189,0.9275810113220585
resnet,17,bandpass,10,independent_rms,all,macro_f1,0.4237279919741888,0.4166210700882821,0.007106921885906725,0.9832276318263089
resnet,17,bandpass,10,independent_rms,all,auroc_NORM,0.7106842737094838,0.693077230892357,0.017607042817126883,0.975225225223853
resnet,17,bandpass,10,independent_rms,all,auroc_MI,0.5971410006497726,0.5977907732293697,-0.0006497725795970855,1.0010881392801516
resnet,17,bandpass,10,independent_rms,all,auroc_STTC,0.5629960317460317,0.4995039682539682,0.06349206349206354,0.8872246696019482
resnet,17,bandpass,10,independent_rms,all,auroc_CD,0.6375291375291374,0.6264568764568765,0.011072261072260892,0.9826325411319142
resnet,17,bandpass,10,independent_rms,all,auroc_HYP,0.8988888888888888,0.8944444444444444,0.004444444444444473,0.9950556242263343
resnet,17,bandpass,10,independent_rms,all,ap_NORM,0.6637085784687504,0.6397254049187203,0.0239831735500301,0.9638649034696436
resnet,17,bandpass,10,independent_rms,all,ap_MI,0.2919282460446278,0.2435648258360322,0.0483634202085956,0.8343311383372047
